AvgBasket,OrdersPerMonth,DaysSinceLast,LinesPerOrder,TrueType
25.46,2.39,59.45,0.91,bargain hunters
123.31,1.08,12.25,3.81,bulk buyers
33.29,1.88,47.43,1.61,bargain hunters
23.86,0.4,70.89,0.61,lapsed
24.03,1.51,46.54,1.06,bargain hunters
32.46,6.2,13.96,3.01,weekly regulars
9.58,2.44,61.3,1.19,bargain hunters
22.1,0.36,30.42,1.29,lapsed
41.98,1.45,93.8,4.53,unclassifiable
53.55,13.63,9.9,2.81,weekly regulars
49.13,3.34,7.21,4.18,weekly regulars
119.15,0.96,8.07,6.38,bulk buyers
14.66,3.11,58.77,1.67,bargain hunters
119.16,0.98,6.58,7.07,bulk buyers
16.42,2.95,48.01,0.76,bargain hunters
23.96,8.57,14.75,4.17,weekly regulars
114.69,1.44,8.56,3.56,bulk buyers
27.03,7.46,1.93,3.59,weekly regulars
24.87,0.35,65.88,0.78,lapsed
47.63,9.43,10.15,2.14,weekly regulars
58.0,6.64,10.8,3.26,weekly regulars
36.94,0.35,57.04,0.75,lapsed
10.06,2.33,41.53,1.84,bargain hunters
26.84,2.81,46.99,1.49,bargain hunters
14.65,0.49,77.08,0.89,lapsed
36.13,10.25,10.29,3.08,weekly regulars
20.58,0.39,72.22,1.32,lapsed
161.45,1.26,9.38,7.73,bulk buyers
20.5,1.89,19.89,1.75,bargain hunters
18.81,0.47,102.68,1.03,lapsed
29.08,1.45,26.93,0.93,unclassifiable
21.03,0.47,23.34,1.35,lapsed
32.99,3.71,56.8,1.31,unclassifiable
39.58,4.66,9.24,2.29,weekly regulars
185.81,2.14,7.88,5.8,bulk buyers
203.05,1.01,10.21,5.23,bulk buyers
12.79,0.31,111.78,0.99,lapsed
13.71,2.74,46.17,1.26,bargain hunters
16.13,2.6,92.92,1.39,bargain hunters
15.41,1.62,64.92,1.4,bargain hunters
44.52,8.22,6.85,4.31,weekly regulars
121.77,1.23,7.94,7.47,bulk buyers
102.67,5.85,72.55,4.99,unclassifiable
115.4,0.57,12.88,8.8,bulk buyers
41.0,9.53,14.77,4.42,weekly regulars
19.06,1.6,49.27,1.72,bargain hunters
209.63,0.61,9.52,5.53,bulk buyers
35.74,10.41,11.17,4.04,weekly regulars
58.11,5.57,9.7,2.51,weekly regulars
26.54,2.13,54.47,2.02,bargain hunters
22.1,0.48,71.89,1.3,lapsed
38.8,7.51,21.3,3.7,weekly regulars
16.84,0.12,23.21,1.23,lapsed
122.39,1.13,11.16,5.77,bulk buyers
17.49,1.45,39.09,1.94,bargain hunters
25.36,7.47,9.49,3.23,weekly regulars
25.47,0.45,90.48,1.07,lapsed
18.92,0.41,66.7,1.06,lapsed
142.07,1.49,12.04,6.98,bulk buyers
12.67,1.9,35.15,1.5,bargain hunters
31.33,3.49,15.53,3.07,weekly regulars
69.9,5.14,46.35,6.56,unclassifiable
33.83,5.86,6.22,3.45,weekly regulars
30.16,1.98,43.41,1.3,bargain hunters
23.13,9.73,15.72,4.27,weekly regulars
31.56,0.3,42.15,0.98,lapsed
15.99,2.02,78.23,0.5,bargain hunters
17.06,0.48,48.6,1.38,lapsed
25.93,2.18,24.39,1.37,bargain hunters
24.22,0.3,45.21,1.37,lapsed
22.7,0.28,50.89,1.18,lapsed
157.9,1.52,11.96,5.59,bulk buyers
20.09,2.73,42.59,1.24,bargain hunters
36.79,3.78,12.32,2.98,weekly regulars
22.65,1.66,32.23,1.79,bargain hunters
18.32,1.59,50.06,0.99,bargain hunters
37.07,14.51,15.96,2.37,weekly regulars
45.31,9.52,10.07,2.35,weekly regulars
8.18,7.04,36.31,4.85,unclassifiable
26.82,2.17,27.0,1.75,bargain hunters
17.15,2.11,50.9,1.0,bargain hunters
28.94,9.88,10.69,2.96,weekly regulars
160.58,0.93,9.62,8.07,bulk buyers
21.71,2.05,39.13,1.26,bargain hunters
20.96,0.22,103.7,0.96,lapsed
15.18,3.01,30.9,1.54,bargain hunters
16.7,1.46,25.16,1.06,bargain hunters
38.62,6.08,11.12,3.24,weekly regulars
25.41,0.5,65.21,1.25,lapsed
39.56,1.77,36.26,2.05,bargain hunters
9.33,0.56,62.38,0.89,lapsed
31.24,9.1,11.77,2.18,weekly regulars
208.71,0.54,9.44,2.97,bulk buyers
35.4,10.2,9.93,2.42,weekly regulars
18.13,0.36,89.82,1.35,lapsed
145.42,1.42,9.5,4.6,bulk buyers
19.7,0.45,26.15,0.98,lapsed
31.31,8.47,9.34,2.65,weekly regulars
22.77,2.21,34.19,1.5,bargain hunters
23.18,2.63,53.43,1.42,bargain hunters
23.44,1.48,32.62,1.52,bargain hunters
23.78,0.39,77.36,0.77,lapsed
16.67,2.7,62.89,1.62,bargain hunters
35.26,10.12,6.23,3.7,weekly regulars
43.98,9.39,18.18,2.53,weekly regulars
85.34,3.35,62.63,1.5,unclassifiable
26.96,9.61,5.92,3.45,weekly regulars
21.47,2.64,65.44,1.48,bargain hunters
29.25,0.21,26.91,1.06,lapsed
30.43,4.6,127.46,2.44,unclassifiable
38.22,4.35,16.11,3.63,weekly regulars
115.89,1.95,6.66,5.19,bulk buyers
113.68,1.78,7.52,8.13,bulk buyers
25.93,1.61,45.62,1.38,bargain hunters
14.39,2.29,54.53,1.42,bargain hunters
16.56,0.42,110.85,1.51,lapsed
143.43,1.84,10.38,5.54,bulk buyers
21.35,10.84,9.23,3.47,weekly regulars
25.15,3.83,57.31,1.67,bargain hunters
32.22,4.82,48.36,0.19,unclassifiable
32.8,7.52,4.62,2.34,weekly regulars
115.78,1.83,10.36,6.3,bulk buyers
16.43,3.04,47.95,1.5,bargain hunters
24.66,4.68,10.3,2.84,weekly regulars
22.95,2.67,57.3,1.11,bargain hunters
113.02,1.41,8.8,7.29,bulk buyers
17.54,0.34,23.38,1.34,lapsed
17.6,1.84,22.89,1.04,bargain hunters
23.2,5.54,7.03,0.98,unclassifiable
34.27,0.37,75.04,0.79,lapsed
16.27,1.56,41.37,1.53,bargain hunters
140.39,1.14,9.39,5.48,bulk buyers
27.01,2.43,68.41,1.66,bargain hunters
38.95,5.11,14.05,3.18,weekly regulars
20.81,1.82,21.66,1.11,bargain hunters
14.97,1.79,50.07,2.02,bargain hunters
31.75,2.55,42.28,1.16,bargain hunters
33.85,10.45,13.52,1.65,weekly regulars
23.66,8.15,5.21,2.84,weekly regulars
22.5,0.3,57.05,1.09,lapsed
27.93,5.8,13.53,2.17,weekly regulars
91.53,1.66,7.75,5.35,bulk buyers
142.5,1.56,10.71,6.06,bulk buyers
18.05,2.57,33.86,1.21,bargain hunters
28.6,8.58,17.32,2.65,weekly regulars
17.35,1.52,42.42,1.13,bargain hunters
21.81,0.46,64.41,1.25,lapsed
66.29,9.14,14.01,2.28,weekly regulars
33.84,13.13,16.08,3.88,weekly regulars
151.66,1.39,9.2,5.97,bulk buyers
123.18,1.52,7.55,6.93,bulk buyers
22.89,1.52,35.67,1.58,bargain hunters
22.57,1.63,52.7,1.86,bargain hunters
13.6,2.23,40.71,1.34,bargain hunters
28.97,2.82,47.8,0.72,bargain hunters
25.02,2.32,69.86,1.44,bargain hunters
16.66,0.43,59.35,1.25,lapsed
101.88,1.34,11.72,6.47,bulk buyers
31.13,4.91,12.11,3.63,weekly regulars
24.27,0.15,58.7,1.0,lapsed
22.02,0.44,99.43,0.93,lapsed
31.8,0.47,58.02,1.39,lapsed
35.73,0.35,43.58,1.36,lapsed
129.11,2.02,8.36,1.88,bulk buyers
89.13,1.26,9.76,6.52,bulk buyers
27.85,7.53,9.04,2.98,weekly regulars
143.7,1.36,9.76,5.32,bulk buyers
31.04,0.41,85.88,0.76,lapsed
42.79,9.38,10.67,3.2,weekly regulars
38.05,1.16,26.46,1.23,bargain hunters
16.9,0.49,49.5,0.9,lapsed
15.99,2.07,61.35,1.19,bargain hunters
157.33,1.06,10.18,8.39,bulk buyers
25.21,3.36,51.61,1.52,bargain hunters
35.13,2.9,13.52,4.32,weekly regulars
34.61,10.85,6.62,3.72,weekly regulars
23.98,1.43,42.38,2.13,bargain hunters
56.62,8.72,9.64,3.82,weekly regulars
140.42,1.54,6.0,6.68,bulk buyers
26.32,7.91,8.29,4.18,weekly regulars
28.91,0.21,92.62,0.96,lapsed
14.2,1.69,39.56,1.52,bargain hunters
17.79,2.01,67.05,2.33,bargain hunters
24.31,2.42,41.29,1.24,bargain hunters
18.3,0.26,65.93,1.09,lapsed
24.17,0.45,38.37,1.12,lapsed
31.84,13.03,15.29,2.58,weekly regulars
154.31,1.36,6.96,3.41,bulk buyers
125.77,1.05,6.43,7.52,bulk buyers
22.83,2.15,70.6,1.01,bargain hunters
14.47,0.43,99.18,1.17,lapsed
212.9,1.67,7.14,4.79,bulk buyers
8.45,3.74,28.44,5.07,unclassifiable
123.44,1.21,7.39,3.83,bulk buyers
37.9,9.49,14.11,2.12,weekly regulars
98.29,2.36,7.22,8.84,bulk buyers
33.82,8.77,15.18,4.22,weekly regulars
136.59,2.31,4.32,6.26,bulk buyers
19.63,2.14,38.73,1.38,bargain hunters
25.04,1.16,59.87,1.39,bargain hunters
24.84,2.4,52.16,1.7,bargain hunters
14.46,1.92,72.33,1.71,bargain hunters
46.53,0.26,98.7,1.25,lapsed
23.67,0.38,48.25,0.63,lapsed
20.8,0.68,18.28,1.26,lapsed
13.06,2.1,41.58,0.94,bargain hunters
16.01,0.2,53.57,1.44,lapsed
46.55,10.21,11.09,3.54,weekly regulars
18.54,2.17,37.34,1.14,bargain hunters
21.94,4.51,13.38,3.75,weekly regulars
157.69,1.63,7.61,8.4,bulk buyers
21.73,1.89,43.07,1.48,bargain hunters
18.77,0.44,87.14,1.2,lapsed
39.83,13.24,11.86,2.64,weekly regulars
42.71,4.3,23.02,3.64,unclassifiable
15.17,0.65,19.06,2.03,bargain hunters
32.2,9.68,12.2,3.67,weekly regulars
22.2,0.46,70.75,1.24,lapsed
13.66,0.36,76.92,1.09,lapsed
20.62,1.35,56.2,1.22,bargain hunters
83.29,1.42,6.47,5.48,bulk buyers
55.27,8.94,9.26,1.54,weekly regulars
18.33,2.5,45.01,1.28,bargain hunters
23.24,1.61,36.88,1.05,bargain hunters
28.69,8.37,13.57,1.97,weekly regulars
15.81,1.72,58.09,1.25,bargain hunters
147.73,0.8,7.44,7.31,bulk buyers
26.84,0.39,63.15,1.13,lapsed
15.91,1.97,36.19,1.27,bargain hunters
29.93,1.2,38.47,3.5,unclassifiable
13.97,1.55,53.47,1.81,bargain hunters
19.74,2.7,0.72,1.32,bargain hunters
38.88,2.61,66.53,1.6,unclassifiable
54.39,8.65,10.07,3.14,weekly regulars
135.16,2.29,12.19,3.05,bulk buyers
13.11,1.45,45.27,1.12,bargain hunters
17.86,0.55,65.88,1.4,lapsed
12.02,0.53,72.4,1.06,lapsed
32.95,10.2,16.29,3.76,weekly regulars
25.54,1.99,49.42,1.13,bargain hunters
38.65,7.12,14.06,3.23,weekly regulars
16.9,3.32,44.64,1.26,bargain hunters
55.46,8.26,14.62,1.74,weekly regulars
82.07,1.2,5.98,4.76,bulk buyers
126.92,6.06,44.91,3.69,unclassifiable
23.58,1.14,70.0,1.54,bargain hunters
19.99,7.22,17.2,3.57,weekly regulars
48.75,6.83,14.75,2.96,weekly regulars
11.39,0.22,17.63,1.32,bargain hunters
40.01,6.27,11.4,4.03,weekly regulars
34.15,6.42,15.24,2.88,weekly regulars
73.03,11.12,18.38,2.33,weekly regulars
19.43,0.49,69.15,0.89,lapsed
53.9,9.05,11.59,4.14,weekly regulars
38.54,7.2,8.58,2.94,weekly regulars
23.02,0.49,79.98,0.68,lapsed
12.55,1.63,75.88,1.11,bargain hunters
30.93,12.34,16.83,3.82,weekly regulars
22.45,1.55,56.47,1.24,bargain hunters
17.69,2.62,40.23,1.88,bargain hunters
62.02,11.05,14.9,4.21,weekly regulars
15.35,2.22,56.84,1.26,bargain hunters
36.41,9.29,11.36,3.36,weekly regulars
31.1,9.75,12.46,3.64,weekly regulars
78.36,0.85,9.68,5.3,bulk buyers
17.7,1.9,36.86,1.69,bargain hunters
36.61,8.62,13.9,2.4,weekly regulars
62.0,11.24,17.71,4.51,weekly regulars
14.47,3.21,40.06,3.71,unclassifiable
11.96,1.66,46.96,1.41,bargain hunters
98.64,1.16,6.63,4.8,bulk buyers
131.86,1.42,6.92,6.98,bulk buyers
19.03,2.84,49.47,1.09,bargain hunters
120.14,0.68,9.69,5.45,bulk buyers
16.28,1.48,62.55,1.2,bargain hunters
37.01,9.09,15.4,3.23,weekly regulars
15.38,1.84,53.37,1.62,bargain hunters
18.18,2.22,55.65,1.46,bargain hunters
13.24,1.31,54.21,1.34,bargain hunters
21.64,9.69,19.61,2.66,weekly regulars
28.28,4.38,97.25,0.48,unclassifiable
17.53,0.26,60.87,1.2,lapsed
51.58,10.74,5.38,3.79,weekly regulars
134.47,1.56,7.63,5.36,bulk buyers
37.4,10.31,11.14,3.24,weekly regulars
42.05,8.32,13.29,3.42,weekly regulars
63.61,11.11,14.06,3.7,weekly regulars
85.17,0.88,10.83,4.83,bulk buyers
27.38,10.02,11.14,4.16,weekly regulars
18.94,2.09,46.31,1.39,bargain hunters
23.31,6.7,8.39,2.93,weekly regulars
14.12,0.36,138.34,0.94,lapsed
88.16,1.52,12.37,6.48,bulk buyers
26.62,0.4,26.24,0.91,lapsed
23.32,9.18,11.3,2.85,weekly regulars
20.04,0.56,76.78,1.14,lapsed
26.57,0.36,84.88,0.96,lapsed
26.29,8.84,16.59,4.15,weekly regulars
20.66,9.74,11.69,4.2,weekly regulars
15.06,0.32,54.49,1.6,lapsed
29.82,0.32,82.05,1.3,lapsed
13.99,2.06,40.92,1.39,bargain hunters
173.08,0.77,10.91,4.72,bulk buyers
26.86,0.39,75.45,0.96,lapsed
78.2,2.39,96.07,4.85,unclassifiable
211.78,0.62,14.43,6.51,bulk buyers
27.27,9.83,7.58,3.89,weekly regulars
241.49,1.8,5.93,6.75,bulk buyers
127.29,1.22,8.56,8.67,bulk buyers
30.79,11.27,22.84,3.26,weekly regulars
17.53,1.97,55.74,1.5,bargain hunters
45.33,10.87,15.26,3.27,weekly regulars
29.75,2.38,22.05,1.23,bargain hunters
25.58,9.67,14.73,5.29,weekly regulars
39.7,0.3,80.64,1.13,lapsed
198.16,1.68,13.52,5.43,bulk buyers
41.73,12.07,13.31,3.43,weekly regulars
20.16,2.26,59.01,1.15,bargain hunters
54.12,7.18,19.57,4.11,weekly regulars
26.74,0.33,44.49,1.29,lapsed
19.0,2.23,35.45,1.34,bargain hunters
70.86,10.7,9.26,1.85,weekly regulars
25.27,4.59,18.55,6.21,unclassifiable
92.12,1.76,6.09,6.56,bulk buyers
28.3,9.97,12.53,3.29,weekly regulars
24.27,2.03,47.52,1.37,bargain hunters
134.26,1.27,11.88,7.6,bulk buyers
21.29,2.1,57.54,0.98,bargain hunters
49.33,4.81,9.27,4.05,weekly regulars
21.33,3.58,39.54,1.15,bargain hunters
23.49,0.31,67.01,1.3,lapsed
183.54,1.7,9.61,6.92,bulk buyers
39.44,7.89,2.97,3.71,weekly regulars
24.99,0.28,89.66,0.54,lapsed
134.83,1.49,9.72,6.13,bulk buyers
38.36,3.64,11.21,3.14,weekly regulars
24.0,2.21,71.15,1.93,bargain hunters
116.38,1.26,10.07,4.69,bulk buyers
113.09,1.02,7.33,7.55,bulk buyers
19.94,1.42,67.91,1.47,bargain hunters
36.29,7.99,4.35,4.02,weekly regulars
47.58,12.55,15.21,3.21,weekly regulars
19.34,0.51,35.92,1.19,lapsed
15.94,1.89,60.31,1.33,bargain hunters
193.56,1.23,8.82,5.86,bulk buyers
107.57,1.0,8.83,4.91,bulk buyers
27.69,8.95,11.67,3.18,weekly regulars
33.12,11.49,13.67,4.49,weekly regulars
65.34,1.92,9.8,5.74,bulk buyers
21.04,1.51,50.65,0.92,bargain hunters
23.07,2.31,43.8,0.66,bargain hunters
172.89,1.76,14.6,6.52,bulk buyers
209.03,4.37,67.4,1.2,unclassifiable
17.69,1.94,23.65,1.31,bargain hunters
26.15,0.3,76.64,1.22,lapsed
17.3,2.78,52.6,1.37,bargain hunters
25.98,12.54,10.3,4.36,weekly regulars
51.87,7.17,10.44,2.28,weekly regulars
22.49,7.23,8.18,3.2,weekly regulars
68.98,3.29,62.88,0.73,unclassifiable
24.98,0.24,63.99,1.07,lapsed
39.47,8.52,10.65,4.39,weekly regulars
103.7,2.09,5.47,7.29,bulk buyers
36.1,0.25,27.37,1.14,lapsed
18.45,0.33,81.34,1.1,lapsed
17.44,2.19,46.38,1.25,bargain hunters
161.62,1.18,6.51,6.69,bulk buyers
35.66,8.69,13.57,3.82,weekly regulars
28.71,9.44,7.93,3.19,weekly regulars
33.56,9.41,16.51,4.05,weekly regulars
17.36,1.8,38.03,1.24,bargain hunters
18.5,0.32,65.83,1.44,lapsed
15.74,2.07,69.31,1.49,bargain hunters
75.38,13.3,9.76,3.27,weekly regulars
37.83,8.63,12.96,3.4,weekly regulars
23.15,1.4,54.28,1.57,bargain hunters
19.06,1.42,60.36,1.69,bargain hunters
145.26,1.62,7.39,5.1,bulk buyers
154.06,1.16,6.93,5.52,bulk buyers
17.29,2.23,53.63,1.26,bargain hunters
11.17,2.1,72.09,1.43,bargain hunters
35.06,8.03,18.56,4.43,weekly regulars
122.22,1.11,2.4,5.12,bulk buyers
123.53,1.07,9.38,8.38,bulk buyers
32.38,6.72,7.6,3.63,weekly regulars
59.91,2.16,39.64,4.09,unclassifiable
38.5,0.24,119.37,1.54,lapsed
24.66,5.18,35.36,3.86,unclassifiable
35.67,9.74,12.87,4.7,weekly regulars
31.21,0.52,26.77,1.39,lapsed
76.15,1.32,6.43,4.93,bulk buyers
33.71,9.52,15.26,1.72,weekly regulars
154.78,1.29,7.89,5.91,bulk buyers
26.54,1.88,27.82,1.52,unclassifiable
50.38,11.75,15.11,3.76,weekly regulars
18.56,0.3,63.23,1.57,lapsed
158.35,1.54,5.15,7.31,bulk buyers
16.94,11.6,6.74,3.55,weekly regulars
14.26,2.44,30.99,1.52,bargain hunters
24.49,0.14,97.61,0.87,lapsed
127.95,1.3,12.56,9.52,bulk buyers
26.37,5.19,18.6,3.2,weekly regulars
45.96,4.63,10.94,4.62,weekly regulars
146.59,1.37,8.29,3.71,bulk buyers
30.96,2.59,47.01,1.47,bargain hunters
54.11,10.39,3.77,2.13,weekly regulars
31.52,0.46,61.58,1.42,lapsed
30.79,7.0,14.5,4.34,weekly regulars
39.11,0.64,72.94,1.2,lapsed
7.04,1.63,41.79,3.49,unclassifiable
98.72,0.58,11.8,4.38,bulk buyers
42.4,11.28,10.07,2.2,weekly regulars
228.08,1.35,12.11,5.59,bulk buyers
178.14,1.66,8.94,7.95,bulk buyers
18.09,1.96,44.3,1.92,bargain hunters
