Department,YearsAtCompany,MonthlyIncome,OverTime,CommuteMinutes,JobSatisfaction,YearsSincePromotion,Attrition
Sales,7.4,7717.0,Yes,25.0,1.9,1.6,1
R&D,1.8,4575.0,Yes,30.0,1.7,4.2,1
Sales,4.4,8433.0,No,6.0,2.5,1.9,0
Support,1.0,5058.0,Yes,4.0,2.7,8.1,1
R&D,7.7,4342.0,Yes,13.0,4.2,0.4,0
R&D,15.3,7758.0,No,19.0,4.6,0.7,0
Support,6.3,6842.0,No,32.0,3.9,3.5,0
R&D,3.0,7483.0,Yes,16.0,4.5,2.0,0
Sales,5.5,8325.0,No,25.0,2.9,3.4,1
Support,9.8,7017.0,No,17.0,2.8,0.9,0
R&D,3.0,7258.0,No,5.0,1.9,4.0,1
Sales,2.7,2900.0,No,11.0,4.4,1.8,0
R&D,4.9,4225.0,No,27.0,3.8,1.5,1
Sales,10.3,6108.0,No,18.0,3.3,0.6,0
R&D,6.4,5758.0,No,4.0,2.0,0.4,0
R&D,7.1,6525.0,No,7.0,2.3,1.6,0
Sales,8.1,4758.0,No,5.0,3.8,1.2,0
R&D,12.6,7108.0,No,2.0,3.3,1.2,0
Sales,5.3,8458.0,No,12.0,4.4,1.7,0
R&D,3.6,6342.0,No,2.0,3.5,1.0,0
Support,8.3,6717.0,No,6.0,2.6,1.4,0
R&D,11.1,6225.0,No,14.0,2.2,2.0,0
R&D,7.3,6858.0,No,4.0,3.3,2.8,0
Sales,4.7,5800.0,No,7.0,4.9,0.3,0
Sales,15.1,4733.0,No,31.0,5.0,0.8,0
R&D,13.7,5775.0,No,4.0,2.6,2.6,0
Support,0.6,5650.0,No,16.0,3.8,1.7,0
Sales,5.7,3225.0,Yes,11.0,2.6,0.1,0
Sales,5.1,5833.0,Yes,11.0,3.6,1.4,0
Support,1.4,5525.0,No,2.0,1.0,1.0,1
Sales,4.0,5800.0,No,9.0,2.7,2.5,0
Sales,7.7,4675.0,No,12.0,1.6,1.0,0
Sales,7.0,6200.0,No,1.0,4.7,4.2,0
R&D,9.3,6417.0,No,6.0,2.9,0.7,0
Support,3.6,4442.0,No,9.0,3.7,2.5,0
R&D,16.2,5967.0,No,7.0,3.3,3.3,0
Sales,10.7,6642.0,No,2.0,2.0,1.0,0
R&D,3.6,6592.0,Yes,11.0,3.9,4.4,1
Support,6.1,4117.0,No,6.0,4.3,2.7,0
R&D,8.5,3958.0,No,8.0,3.5,4.7,0
R&D,3.5,5517.0,No,5.0,3.8,1.7,0
R&D,15.1,3917.0,No,6.0,4.4,3.1,0
Support,7.6,9175.0,No,13.0,3.9,0.3,0
R&D,7.6,4258.0,No,15.0,3.2,3.7,0
R&D,7.2,4275.0,No,11.0,1.8,0.5,0
R&D,7.2,6408.0,No,14.0,2.5,1.9,0
R&D,7.3,4750.0,No,2.0,2.6,0.2,0
R&D,8.1,2083.0,No,6.0,4.0,2.7,0
R&D,2.9,5217.0,No,24.0,4.6,0.9,0
Sales,4.7,3967.0,No,21.0,3.3,1.2,0
R&D,5.4,4642.0,No,27.0,4.3,1.6,0
R&D,13.9,3017.0,No,24.0,1.0,4.8,0
Support,12.6,4067.0,Yes,11.0,3.6,1.9,0
R&D,5.2,5158.0,No,15.0,2.2,0.1,0
R&D,4.5,5275.0,No,17.0,4.2,1.3,0
Sales,6.1,3733.0,No,6.0,4.5,0.3,0
R&D,5.4,4317.0,Yes,11.0,4.4,1.2,0
Support,6.3,4108.0,Yes,2.0,4.1,6.7,0
R&D,1.9,5575.0,No,3.0,4.4,0.4,0
R&D,5.3,5142.0,No,5.0,5.0,1.6,0
Sales,9.3,3508.0,Yes,15.0,2.9,1.0,0
R&D,3.2,6300.0,No,2.0,4.8,1.6,0
R&D,4.9,4317.0,No,4.0,3.0,1.5,1
Sales,12.8,5925.0,No,19.0,2.1,2.0,0
R&D,3.1,3983.0,No,32.0,3.9,0.6,0
Support,1.4,5783.0,No,14.0,4.1,0.3,0
R&D,10.4,5158.0,No,18.0,3.7,2.7,0
R&D,4.0,5417.0,Yes,16.0,2.8,1.7,0
Sales,11.1,6083.0,Yes,14.0,3.9,2.6,0
Support,3.9,5983.0,No,1.0,3.2,0.6,0
R&D,7.7,5575.0,No,10.0,5.0,1.2,0
R&D,4.4,5575.0,No,22.0,3.7,1.6,0
Support,15.8,3450.0,Yes,5.0,3.8,1.5,0
R&D,4.8,5225.0,No,5.0,2.9,1.1,0
Sales,0.9,2083.0,No,9.0,3.9,2.3,0
Support,2.3,2083.0,No,11.0,5.0,5.3,0
R&D,9.1,4867.0,No,8.0,2.7,2.5,0
R&D,4.8,5000.0,No,19.0,3.0,2.0,0
R&D,9.1,7542.0,No,12.0,1.6,2.8,1
Sales,3.1,6317.0,Yes,4.0,3.3,0.0,0
R&D,9.1,6975.0,Yes,7.0,4.9,1.7,0
R&D,10.4,4875.0,No,8.0,2.2,3.3,0
R&D,6.6,5992.0,No,28.0,3.0,0.2,0
R&D,9.5,7058.0,No,3.0,2.6,0.8,0
R&D,6.0,6125.0,No,32.0,3.1,0.7,0
Sales,1.9,5867.0,No,10.0,2.6,2.2,0
Support,4.1,5500.0,No,12.0,3.0,2.2,0
R&D,5.2,3992.0,No,5.0,2.3,1.1,0
R&D,7.0,4033.0,No,15.0,3.5,0.5,0
Support,11.1,3233.0,No,20.0,4.3,1.9,0
R&D,7.2,5958.0,No,24.0,4.1,3.0,0
Sales,4.4,4958.0,No,19.0,1.6,1.8,0
Support,6.5,4367.0,No,31.0,4.6,2.0,0
Sales,1.9,5892.0,No,16.0,4.0,0.7,0
Sales,9.2,4517.0,No,12.0,4.4,2.1,0
Sales,6.7,6917.0,No,7.0,2.5,1.2,0
Sales,2.4,8200.0,Yes,5.0,2.8,1.5,0
R&D,7.2,6042.0,Yes,16.0,4.0,0.9,0
Support,3.1,4350.0,Yes,10.0,5.0,5.7,0
R&D,9.5,3158.0,No,1.0,2.4,7.8,0
R&D,11.0,8358.0,Yes,19.0,3.6,0.5,0
R&D,5.1,6050.0,No,11.0,3.8,2.7,0
Sales,5.5,3642.0,No,6.0,3.0,0.3,1
R&D,1.9,6975.0,Yes,11.0,3.7,0.9,0
Sales,3.0,2908.0,Yes,11.0,2.9,0.6,1
R&D,1.1,4725.0,No,15.0,4.6,2.9,0
R&D,8.4,5033.0,Yes,11.0,1.8,0.9,0
R&D,11.2,4850.0,No,21.0,3.6,3.6,0
R&D,1.3,3692.0,No,6.0,2.9,1.2,0
Sales,3.9,8933.0,No,3.0,3.3,0.6,0
Sales,11.6,4792.0,No,16.0,2.5,3.5,0
R&D,5.5,5950.0,No,18.0,1.0,5.7,0
R&D,2.5,5442.0,Yes,5.0,4.8,0.3,0
Sales,2.7,3017.0,No,49.0,4.0,2.6,0
Sales,7.1,4575.0,No,9.0,3.7,2.6,0
R&D,11.3,5700.0,No,3.0,3.3,3.8,0
R&D,3.6,6767.0,No,5.0,3.6,5.0,0
R&D,1.7,4875.0,No,8.0,3.1,2.5,0
R&D,10.9,5933.0,No,5.0,3.5,0.3,0
R&D,11.3,4883.0,No,7.0,4.7,0.7,0
R&D,4.8,6267.0,No,21.0,2.8,1.5,0
R&D,4.2,2083.0,No,4.0,2.5,1.9,0
Sales,13.0,6283.0,Yes,6.0,5.0,3.0,0
R&D,3.5,4467.0,No,11.0,2.9,1.7,0
Sales,8.4,4533.0,Yes,8.0,3.6,1.2,0
R&D,6.3,2083.0,Yes,10.0,3.2,2.6,0
Sales,1.3,3817.0,Yes,14.0,3.9,7.5,1
Support,6.3,6308.0,No,25.0,4.0,2.5,0
Support,1.7,8833.0,No,14.0,3.5,1.9,0
Support,2.6,4350.0,Yes,14.0,2.4,8.1,1
Sales,2.4,4417.0,No,16.0,2.5,6.7,0
Support,15.8,6125.0,No,18.0,3.4,8.8,0
Support,12.6,5825.0,Yes,9.0,5.0,1.2,0
Sales,2.1,4525.0,Yes,20.0,1.7,5.2,1
R&D,2.5,5150.0,No,13.0,3.3,2.0,0
Support,2.1,4833.0,Yes,1.0,3.8,1.2,0
R&D,8.3,6325.0,No,9.0,2.8,5.0,0
Support,9.5,6583.0,Yes,23.0,3.6,2.3,0
Sales,2.9,8025.0,Yes,4.0,3.3,1.6,0
R&D,1.0,6775.0,No,20.0,4.1,1.1,0
R&D,1.2,6400.0,No,6.0,4.9,2.2,0
R&D,1.0,5642.0,Yes,5.0,3.1,4.8,1
Sales,7.4,6800.0,No,20.0,3.6,3.1,0
Sales,3.5,3942.0,Yes,38.0,3.8,4.2,1
R&D,6.1,8625.0,No,20.0,3.5,5.0,0
R&D,8.5,5825.0,Yes,16.0,3.4,1.4,0
Sales,1.9,7517.0,No,3.0,1.3,1.4,0
R&D,7.1,4225.0,No,5.0,3.4,3.9,0
R&D,15.2,6950.0,Yes,7.0,2.3,0.9,0
Sales,2.5,6008.0,No,11.0,2.9,0.2,0
R&D,5.8,5133.0,No,3.0,3.7,1.2,0
Sales,14.3,4417.0,No,5.0,3.9,1.5,0
R&D,7.0,4100.0,No,17.0,2.9,0.9,0
Sales,12.7,8100.0,No,9.0,2.9,0.6,0
R&D,11.6,7233.0,No,8.0,3.1,2.7,0
Sales,6.2,5583.0,No,11.0,2.3,0.5,0
R&D,4.9,5708.0,No,11.0,4.8,6.7,0
R&D,15.3,4333.0,No,8.0,5.0,1.5,0
Sales,5.1,2675.0,No,9.0,3.2,5.6,0
R&D,12.1,2742.0,No,9.0,4.8,4.9,0
Sales,5.5,4508.0,Yes,29.0,4.1,3.0,1
Support,8.1,5183.0,No,9.0,2.3,5.4,0
R&D,3.9,3667.0,No,7.0,4.2,2.6,0
Sales,4.2,6608.0,No,4.0,4.0,1.1,0
R&D,5.2,6183.0,No,23.0,3.5,1.3,0
R&D,5.5,5658.0,No,4.0,1.9,11.4,0
R&D,21.0,2783.0,No,6.0,2.8,2.7,0
R&D,7.0,5092.0,No,17.0,1.2,7.2,0
R&D,0.7,5375.0,Yes,16.0,3.3,1.2,0
R&D,2.0,3533.0,No,27.0,3.0,1.9,0
Support,22.7,2150.0,No,32.0,2.3,3.1,0
Sales,12.2,8283.0,Yes,27.0,2.1,4.1,0
Support,15.3,6342.0,Yes,14.0,4.6,1.4,1
Sales,0.5,4842.0,No,29.0,1.9,3.1,0
R&D,6.4,7808.0,No,6.0,4.0,1.5,0
R&D,11.5,7083.0,Yes,17.0,3.4,1.3,0
Sales,11.7,6083.0,No,13.0,4.5,3.9,0
R&D,3.0,5750.0,No,19.0,1.8,0.8,0
Sales,9.8,6583.0,No,2.0,3.4,3.7,0
Sales,9.9,7608.0,No,15.0,4.5,3.2,0
Sales,9.6,5517.0,No,2.0,3.2,3.8,0
Support,4.0,5067.0,No,7.0,2.0,1.6,0
Support,6.6,6292.0,Yes,1.0,1.5,1.9,0
Sales,4.5,2083.0,No,17.0,2.7,6.0,0
R&D,8.9,5550.0,No,18.0,4.3,2.5,0
R&D,16.0,4808.0,No,5.0,4.8,1.9,0
R&D,2.1,5392.0,No,21.0,3.4,0.9,0
R&D,15.6,5142.0,No,13.0,4.2,3.7,0
R&D,2.7,5925.0,No,4.0,4.3,0.4,0
R&D,3.2,5575.0,Yes,13.0,3.9,2.1,0
Support,14.7,5517.0,Yes,7.0,2.5,1.9,0
Sales,6.2,5217.0,No,16.0,4.0,0.4,0
Support,5.4,6100.0,Yes,24.0,2.4,0.4,1
R&D,10.0,4658.0,No,13.0,3.4,0.2,0
Support,6.0,6892.0,No,21.0,4.1,0.4,0
Support,7.5,2892.0,No,7.0,4.3,0.8,0
Support,18.9,5725.0,No,34.0,3.2,2.4,0
R&D,2.2,6092.0,Yes,8.0,4.4,1.1,0
Sales,2.7,3508.0,No,42.0,4.8,0.7,0
Support,7.0,4775.0,No,6.0,4.2,4.6,1
R&D,3.0,7400.0,No,8.0,3.3,0.8,0
Support,3.5,5217.0,No,2.0,3.6,3.1,0
Support,3.1,4092.0,No,6.0,3.4,4.4,0
Sales,18.8,2083.0,Yes,7.0,3.4,0.6,0
Support,14.2,5925.0,Yes,6.0,4.0,1.6,0
Sales,5.0,5567.0,No,24.0,4.4,1.7,0
R&D,7.7,6333.0,No,28.0,3.4,1.2,0
R&D,10.6,8492.0,No,38.0,4.0,1.9,1
Sales,12.1,5408.0,No,19.0,3.6,1.8,0
R&D,2.3,5617.0,No,7.0,3.5,2.0,0
Support,6.3,4383.0,No,23.0,2.4,3.8,0
Sales,4.4,5325.0,No,17.0,3.7,0.2,0
R&D,10.7,5375.0,No,3.0,3.2,3.0,0
R&D,5.9,6550.0,No,26.0,3.6,1.7,0
R&D,4.9,6250.0,No,30.0,4.3,2.7,0
Support,1.5,4267.0,No,8.0,4.1,5.4,1
Sales,2.6,4700.0,No,9.0,4.0,2.0,0
Sales,3.5,7483.0,Yes,9.0,2.9,4.4,1
Sales,9.2,3975.0,Yes,4.0,1.8,0.8,0
Support,3.3,6542.0,No,20.0,3.0,0.4,1
Support,3.9,7850.0,Yes,7.0,3.3,0.6,0
Support,6.1,6400.0,No,16.0,3.5,1.2,0
R&D,4.4,5800.0,No,36.0,4.6,2.5,0
Sales,6.5,7467.0,No,14.0,3.6,0.1,0
R&D,15.1,5950.0,No,7.0,4.7,1.1,0
R&D,3.6,5400.0,Yes,22.0,3.0,1.9,0
R&D,6.6,5108.0,No,5.0,2.3,3.4,0
Sales,3.5,7142.0,No,22.0,4.2,0.5,1
Support,6.4,6458.0,No,34.0,2.3,1.9,0
R&D,2.7,7733.0,No,1.0,1.9,2.0,0
R&D,2.1,4917.0,Yes,33.0,2.8,7.0,0
R&D,7.9,4950.0,Yes,19.0,3.7,2.4,0
Support,8.9,4767.0,Yes,11.0,4.4,1.0,0
Support,2.3,5833.0,No,2.0,3.3,0.7,0
Sales,2.0,4375.0,No,7.0,4.2,0.7,0
Sales,1.6,6808.0,No,18.0,3.3,0.4,0
R&D,3.3,5925.0,Yes,5.0,1.8,4.0,0
R&D,23.2,3942.0,Yes,16.0,2.3,0.8,0
Support,1.9,2083.0,No,18.0,1.8,0.9,1
Sales,11.9,2675.0,No,8.0,3.1,0.8,1
R&D,1.5,7575.0,Yes,18.0,1.4,0.8,0
R&D,11.6,5325.0,No,1.0,2.0,2.0,0
Sales,2.9,5633.0,No,13.0,2.5,1.3,0
R&D,12.1,4775.0,No,15.0,4.2,0.1,0
Sales,4.2,6008.0,No,7.0,3.8,6.9,0
R&D,20.1,2533.0,No,3.0,3.0,4.8,0
R&D,10.5,2417.0,No,9.0,3.5,5.0,0
R&D,8.8,2958.0,No,19.0,3.1,4.9,0
Sales,6.8,5517.0,No,2.0,5.0,0.4,0
Support,1.7,6467.0,Yes,1.0,1.8,0.6,1
Support,4.3,6125.0,No,10.0,1.4,4.1,0
Sales,9.0,5225.0,Yes,15.0,1.5,2.4,1
Sales,2.6,3492.0,Yes,4.0,2.0,4.2,1
Sales,5.1,6608.0,No,2.0,3.0,1.4,0
R&D,2.6,4992.0,Yes,4.0,4.2,0.9,0
R&D,7.9,5383.0,No,5.0,3.1,0.9,0
R&D,19.9,5300.0,Yes,24.0,3.0,3.0,0
R&D,4.8,4708.0,No,7.0,3.1,4.1,0
Sales,7.9,4325.0,No,20.0,3.5,0.5,0
Support,3.7,4525.0,No,20.0,2.4,0.7,0
R&D,6.5,3475.0,No,5.0,3.9,2.0,0
Support,2.2,5783.0,No,2.0,3.2,2.6,1
Support,10.6,5150.0,Yes,10.0,3.5,3.2,0
R&D,7.9,6933.0,Yes,22.0,3.8,2.3,0
Support,24.3,2692.0,No,9.0,3.8,6.7,0
R&D,11.0,7167.0,Yes,9.0,4.0,0.1,0
R&D,5.8,5300.0,No,15.0,2.5,4.8,0
Sales,11.1,5167.0,No,8.0,3.7,3.8,0
Sales,7.0,4200.0,No,12.0,1.8,1.3,0
Sales,6.0,4183.0,No,17.0,1.3,4.3,0
R&D,11.5,3167.0,No,16.0,2.9,5.1,0
R&D,1.1,6758.0,No,5.0,3.6,3.0,0
R&D,1.1,5092.0,Yes,22.0,3.7,1.9,1
Support,5.7,6483.0,Yes,23.0,3.6,4.7,0
Sales,6.8,6650.0,No,12.0,4.0,0.9,0
Sales,14.0,4658.0,No,15.0,1.6,3.9,0
R&D,6.6,5050.0,Yes,4.0,2.7,0.6,0
Sales,5.4,4892.0,No,19.0,3.0,3.9,0
Sales,11.0,6950.0,No,10.0,2.5,3.8,0
Support,8.1,5608.0,No,11.0,3.6,1.7,0
R&D,6.7,5667.0,No,3.0,3.8,1.7,0
R&D,19.8,6492.0,No,4.0,3.5,6.6,0
R&D,6.8,5300.0,No,3.0,3.4,2.6,0
Support,8.5,8475.0,Yes,5.0,5.0,0.6,0
R&D,7.6,4017.0,No,4.0,3.3,5.2,0
Support,1.4,7292.0,No,17.0,3.3,0.3,0
R&D,1.9,7517.0,No,12.0,4.4,5.5,0
R&D,2.0,3700.0,No,3.0,5.0,2.1,0
R&D,5.4,6708.0,No,11.0,2.4,1.4,0
R&D,8.4,5833.0,No,9.0,2.3,0.0,0
R&D,13.6,6725.0,No,6.0,4.5,1.4,0
Sales,0.7,3617.0,Yes,3.0,4.3,7.0,1
Sales,4.6,5783.0,No,6.0,4.1,5.5,0
R&D,19.9,3950.0,No,7.0,3.0,0.6,0
Support,23.3,4917.0,No,8.0,3.9,4.5,0
R&D,9.9,7550.0,No,5.0,2.0,2.4,0
Sales,22.7,5217.0,No,9.0,2.2,0.7,0
Sales,3.9,2083.0,No,23.0,4.7,5.9,0
Sales,1.7,3317.0,No,13.0,2.1,4.2,0
Sales,5.2,3708.0,Yes,9.0,3.1,0.7,0
Sales,7.3,6942.0,No,10.0,3.9,1.4,0
R&D,13.0,4367.0,No,33.0,3.6,3.2,0
R&D,10.2,3083.0,No,8.0,2.3,0.6,0
R&D,7.3,7092.0,No,23.0,2.7,0.5,0
Sales,5.8,5792.0,No,7.0,3.8,1.4,0
Sales,6.0,5933.0,No,22.0,2.9,1.1,0
R&D,1.5,4217.0,No,5.0,4.8,1.7,0
R&D,2.8,7558.0,No,6.0,3.1,1.6,0
R&D,3.4,5233.0,No,2.0,4.9,0.9,0
R&D,10.0,2458.0,Yes,21.0,3.2,2.5,0
R&D,9.3,3708.0,Yes,1.0,4.4,3.1,0
R&D,6.0,4150.0,No,13.0,3.7,4.7,0
Support,1.6,5175.0,No,10.0,3.3,2.6,0
Support,6.0,6567.0,No,22.0,2.0,1.3,0
R&D,13.8,4325.0,No,2.0,3.8,0.6,0
R&D,10.0,4517.0,Yes,29.0,3.3,4.1,0
Support,9.2,8725.0,No,18.0,3.6,1.2,0
R&D,4.2,5542.0,No,15.0,2.8,0.4,0
Sales,3.0,4625.0,No,11.0,2.4,2.3,0
R&D,7.5,5467.0,No,22.0,2.4,6.3,0
