Amount,Hour,AccountAgeDays,CountriesUsed,PriorChargebacks,Fraud
39.78,17,742.0,1,0,0
52.54,6,603.0,1,0,0
12.44,6,380.0,1,0,0
23.96,12,461.0,1,0,0
21.98,6,350.0,3,0,0
13.89,7,1379.0,1,0,0
11.45,23,696.0,1,0,0
43.07,1,176.0,1,0,0
25.5,3,1082.0,1,1,0
43.91,18,764.0,1,0,0
94.73,22,164.0,2,0,0
96.19,8,60.0,1,0,0
8.34,9,556.0,1,0,0
11.2,17,556.0,1,0,0
22.32,13,891.0,1,0,0
34.54,19,221.0,2,0,0
88.16,9,215.0,1,0,0
9.91,17,1061.0,1,0,0
18.13,1,16.0,1,0,0
39.81,19,205.0,1,0,0
123.12,17,417.0,1,1,0
146.37,10,462.0,1,0,0
9.42,6,658.0,1,0,0
23.48,0,824.0,3,0,0
11.84,8,206.0,1,0,0
79.41,13,1103.0,1,0,0
50.1,3,349.0,1,0,0
19.86,22,117.0,1,0,0
14.84,9,822.0,1,0,0
42.06,6,370.0,1,0,0
92.51,22,379.0,1,0,0
12.4,8,758.0,1,0,0
20.65,21,40.0,1,0,0
34.12,9,566.0,1,0,0
30.59,22,227.0,1,0,0
44.19,22,507.0,1,0,0
9.49,3,552.0,1,0,0
15.12,13,113.0,1,0,0
2.68,15,509.0,1,0,0
31.95,23,352.0,1,1,0
102.58,19,208.0,1,0,0
2.81,14,1303.0,1,0,0
14.49,23,314.0,1,0,0
84.21,4,176.0,1,0,0
25.43,19,206.0,1,0,0
3.39,5,844.0,1,0,0
114.91,17,361.0,1,0,0
5.81,17,422.0,1,0,0
144.97,16,365.0,1,0,0
15.3,21,1778.0,1,1,0
13.3,4,523.0,3,0,0
30.91,23,147.0,2,0,0
29.21,7,1049.0,2,0,0
59.77,12,627.0,1,0,0
53.4,16,942.0,1,0,0
25.28,12,646.0,1,0,0
137.13,21,383.0,1,0,0
68.07,5,234.0,1,0,0
41.05,15,679.0,2,0,0
35.0,23,217.0,1,1,0
26.85,1,438.0,1,0,0
27.41,16,919.0,1,0,0
64.37,15,1671.0,1,0,0
51.7,9,83.0,1,0,0
31.37,15,103.0,1,0,0
96.29,22,126.0,1,0,0
22.16,0,109.0,1,0,0
49.47,12,1117.0,3,0,0
80.52,20,289.0,1,0,0
8.31,12,1332.0,1,0,0
22.12,19,477.0,2,0,0
204.21,17,765.0,1,0,0
9.97,14,817.0,2,0,0
112.72,3,403.0,1,0,0
8.86,12,332.0,1,0,0
47.77,23,855.0,1,0,0
8.81,3,795.0,1,0,0
14.75,16,888.0,1,0,0
19.46,17,399.0,1,0,0
15.94,4,118.0,1,0,0
95.57,6,619.0,1,0,0
78.14,4,152.0,1,0,0
81.5,7,449.0,1,0,0
37.43,21,231.0,1,0,0
196.8,15,508.0,1,0,0
97.82,3,666.0,1,0,0
43.53,12,347.0,1,0,0
8.97,1,497.0,1,0,0
65.91,1,630.0,3,0,0
63.43,5,759.0,1,0,0
33.4,15,210.0,1,0,0
68.02,10,357.0,2,0,0
72.63,12,278.0,3,0,0
21.26,23,633.0,1,0,0
57.4,1,586.0,1,0,0
44.66,1,592.0,1,0,0
42.95,1,125.0,1,2,0
20.23,15,88.0,1,0,0
17.59,3,322.0,1,0,0
34.34,18,367.0,2,0,0
155.47,1,537.0,1,0,0
434.8,11,106.0,1,0,0
19.58,13,367.0,1,0,0
8.91,4,255.0,1,0,0
20.23,4,970.0,1,0,0
11.47,14,209.0,1,0,0
18.55,22,1140.0,1,0,0
47.29,5,137.0,1,0,0
10.47,10,764.0,2,0,0
60.36,11,242.0,3,1,1
74.46,2,369.0,1,0,0
171.38,5,254.0,1,0,0
242.78,21,771.0,1,0,0
94.4,7,220.0,1,0,0
406.37,4,1274.0,1,0,0
16.87,9,1092.0,2,0,0
41.18,10,532.0,1,0,0
36.52,18,369.0,1,0,0
49.65,23,413.0,3,0,0
97.35,10,949.0,1,0,0
20.66,15,458.0,1,0,0
214.94,2,459.0,1,0,0
129.98,9,1078.0,1,0,0
44.97,14,339.0,1,0,0
51.55,0,300.0,1,0,0
9.9,22,178.0,1,0,0
1.74,3,48.0,1,0,0
27.3,6,948.0,1,0,0
43.49,13,1116.0,1,0,0
39.28,22,413.0,1,0,0
8.56,0,625.0,1,0,0
18.02,19,563.0,1,0,0
226.59,4,638.0,1,0,0
69.87,19,1877.0,1,0,0
61.43,15,66.0,1,0,0
21.25,3,825.0,1,0,0
70.72,9,617.0,1,0,0
132.45,7,566.0,1,0,0
72.34,23,511.0,1,0,0
19.06,16,312.0,1,0,0
42.07,8,198.0,1,0,0
11.09,12,457.0,1,0,0
21.42,12,727.0,1,0,0
59.81,4,409.0,1,0,0
16.49,8,337.0,2,0,0
23.34,18,653.0,1,0,0
156.97,12,634.0,1,0,0
25.1,14,368.0,1,0,0
73.1,17,773.0,1,0,0
21.59,4,119.0,1,0,0
8.29,7,510.0,1,0,0
30.6,23,526.0,1,0,0
20.19,10,1308.0,1,0,0
3.06,16,517.0,1,0,0
7.71,10,340.0,1,0,0
18.84,12,405.0,1,1,0
164.4,11,182.0,1,0,0
15.81,9,569.0,1,0,0
29.37,1,978.0,1,0,0
62.53,13,829.0,1,0,0
42.49,7,578.0,2,0,0
20.71,23,1382.0,1,0,0
212.44,11,738.0,1,0,0
140.62,6,448.0,1,0,0
1.88,2,43.0,1,0,0
91.22,23,492.0,1,0,0
56.69,15,544.0,1,0,0
93.22,1,107.0,1,0,0
33.75,4,490.0,1,0,0
78.17,15,92.0,1,0,0
274.81,7,403.0,1,0,0
214.86,2,682.0,1,0,0
234.8,20,118.0,1,0,0
101.39,23,700.0,1,0,0
87.4,19,859.0,1,0,0
89.32,8,597.0,1,0,0
8.51,10,761.0,1,0,0
407.58,0,367.0,1,0,0
39.99,5,481.0,1,0,0
44.18,13,577.0,1,0,0
34.97,13,102.0,1,0,0
52.38,19,730.0,1,0,0
2.71,23,479.0,1,0,0
39.66,9,1703.0,1,0,0
7.19,14,419.0,1,0,0
9.9,16,643.0,1,0,0
3.65,1,336.0,1,0,0
4.29,21,257.0,1,0,0
59.47,3,569.0,2,0,0
17.42,21,100.0,1,0,0
27.04,14,285.0,3,0,0
25.02,13,355.0,1,0,0
8.08,20,421.0,1,0,0
13.53,8,762.0,1,0,0
7.21,3,115.0,1,1,0
21.27,2,408.0,1,0,0
2.4,21,166.0,1,0,0
19.32,3,746.0,1,0,0
85.6,15,99.0,1,0,0
119.96,12,1843.0,1,0,0
111.66,21,428.0,1,0,0
53.18,7,250.0,1,1,0
9.57,13,479.0,1,0,0
84.93,22,181.0,1,0,0
54.53,15,740.0,1,0,0
40.8,12,299.0,1,0,0
7.53,9,395.0,1,0,0
47.03,13,744.0,1,0,0
150.92,23,334.0,1,0,0
70.21,1,2092.0,1,0,0
23.15,0,136.0,2,0,0
56.07,5,246.0,1,0,0
30.18,22,402.0,1,0,0
36.84,3,734.0,1,0,0
78.94,10,601.0,1,0,0
44.49,3,262.0,1,0,0
32.65,0,885.0,1,0,0
46.61,3,276.0,1,0,0
11.77,22,158.0,1,0,0
9.62,12,138.0,2,0,0
52.23,13,379.0,1,0,0
15.24,11,161.0,1,0,0
56.86,19,331.0,1,0,0
3.66,2,266.0,1,0,0
117.91,22,323.0,1,0,0
26.76,4,510.0,1,0,0
201.3,15,655.0,1,0,0
1.77,21,161.0,1,0,0
4.39,4,243.0,1,0,0
149.33,4,158.0,1,0,0
35.93,19,206.0,1,0,0
42.54,21,481.0,1,0,0
34.67,0,533.0,2,0,0
36.13,13,448.0,1,0,0
55.66,13,1533.0,1,0,0
9.5,16,268.0,1,0,0
24.88,18,1000.0,1,0,0
133.16,14,307.0,1,1,0
37.06,14,665.0,1,0,0
14.83,19,257.0,1,0,0
33.64,6,1317.0,1,0,0
99.49,5,785.0,1,0,0
24.02,14,326.0,1,0,0
24.62,13,476.0,1,0,0
52.89,5,555.0,1,1,0
79.77,9,442.0,1,1,0
163.16,19,537.0,1,0,0
26.05,1,778.0,1,0,0
44.98,0,351.0,1,0,0
99.72,15,341.0,1,0,0
3.44,11,531.0,2,1,0
35.7,13,284.0,1,0,0
51.41,17,196.0,3,0,0
27.59,21,568.0,1,0,0
11.46,0,332.0,1,0,0
59.35,3,874.0,1,0,0
126.01,10,579.0,1,0,0
27.52,18,283.0,1,0,0
17.55,5,1890.0,1,0,0
23.86,5,485.0,1,0,0
181.15,7,539.0,3,0,0
126.79,5,523.0,1,1,0
32.16,18,347.0,1,2,0
8.74,9,750.0,1,0,0
7.21,15,247.0,1,0,0
21.22,11,959.0,1,0,0
21.4,0,1009.0,1,0,0
41.7,20,641.0,3,0,0
8.43,22,441.0,1,0,0
26.67,21,280.0,1,0,0
56.67,17,491.0,1,0,0
4.46,10,278.0,1,0,0
427.25,11,669.0,1,0,0
59.68,8,847.0,1,0,0
56.43,22,408.0,1,0,0
6.95,6,1083.0,1,0,0
9.55,2,603.0,1,0,0
99.36,13,155.0,2,0,0
85.66,9,364.0,1,0,0
1.9,19,19.0,1,0,0
116.59,2,1325.0,1,1,0
71.56,7,666.0,3,0,0
63.51,22,1141.0,1,0,0
8.71,20,717.0,1,0,0
41.86,12,291.0,1,0,0
15.55,11,254.0,1,0,0
59.41,8,1184.0,1,0,0
257.82,20,250.0,1,0,0
65.2,4,455.0,1,0,0
100.41,0,476.0,1,0,0
21.89,2,129.0,1,1,0
9.7,10,624.0,1,0,0
31.88,6,403.0,1,1,0
103.27,18,72.0,3,1,0
169.66,13,854.0,1,0,0
29.38,13,451.0,1,0,0
42.12,10,421.0,1,1,0
19.94,1,690.0,1,0,0
4.39,14,89.0,1,0,0
34.8,14,264.0,1,0,0
47.02,17,616.0,1,0,0
19.62,16,1354.0,1,0,0
25.89,8,254.0,1,0,0
4.0,9,2205.0,1,0,0
33.72,11,749.0,1,1,0
154.43,16,768.0,1,0,0
30.77,13,1053.0,3,0,0
62.63,3,456.0,1,0,0
52.62,23,680.0,1,0,0
13.25,3,90.0,1,0,0
40.23,13,749.0,1,0,0
12.35,5,522.0,1,0,0
899.99,19,678.0,1,0,0
40.04,9,1173.0,1,0,0
9.06,18,172.0,1,0,0
5.43,12,203.0,1,0,0
175.25,9,1010.0,1,0,0
63.99,13,453.0,1,0,0
49.85,11,534.0,1,0,0
6.62,3,313.0,1,0,0
16.57,17,541.0,1,0,0
7.84,15,410.0,1,0,0
111.47,17,291.0,1,0,0
17.31,18,585.0,1,0,0
288.36,1,486.0,1,0,0
57.29,22,121.0,1,0,0
21.82,1,245.0,1,0,0
147.18,22,943.0,1,0,0
2.84,4,596.0,1,0,0
12.14,23,1749.0,1,0,0
19.91,21,1474.0,1,0,0
107.66,16,238.0,2,0,0
108.63,16,89.0,2,0,0
47.51,18,1133.0,1,0,0
4.11,18,1004.0,1,0,0
17.2,4,680.0,1,0,0
8.89,5,763.0,1,0,0
132.34,14,1936.0,1,0,0
19.02,9,884.0,1,0,0
62.05,2,362.0,1,0,0
265.88,21,150.0,1,0,0
28.97,6,135.0,1,0,0
70.4,4,396.0,1,0,0
20.31,18,930.0,1,0,0
33.31,12,294.0,1,0,0
33.13,15,342.0,1,0,0
32.1,23,235.0,2,0,0
34.15,23,316.0,1,1,0
20.08,9,306.0,1,0,0
269.64,3,725.0,1,0,0
14.97,15,402.0,1,0,0
41.87,23,347.0,1,0,0
22.41,22,636.0,1,0,0
2.35,16,389.0,1,0,0
96.18,16,550.0,1,0,0
41.03,6,141.0,1,1,0
6.48,5,1191.0,1,0,0
13.61,15,862.0,2,0,0
4.92,20,762.0,1,1,0
43.52,15,741.0,1,0,0
188.45,19,19.0,1,0,0
126.88,3,769.0,1,1,0
7.07,3,272.0,1,0,0
4.31,17,452.0,1,0,0
57.26,2,800.0,1,0,0
216.11,1,187.0,2,0,0
33.02,23,473.0,2,0,0
104.06,0,333.0,1,0,0
6.26,18,175.0,1,0,0
27.33,23,944.0,1,0,0
51.52,17,1044.0,1,0,0
19.32,9,93.0,1,0,0
23.87,0,944.0,1,0,0
67.94,15,298.0,1,0,0
15.08,0,102.0,2,0,0
9.86,13,175.0,1,0,0
72.82,2,798.0,1,0,0
40.8,4,259.0,1,0,0
9.8,2,581.0,1,0,0
50.7,3,645.0,1,0,0
16.15,11,302.0,1,0,0
64.2,22,477.0,1,0,0
30.45,22,424.0,1,0,0
22.11,6,1058.0,1,0,0
12.64,7,588.0,1,0,0
38.76,14,461.0,2,0,0
29.13,15,818.0,1,0,0
270.46,18,445.0,1,0,0
29.18,17,448.0,1,0,0
6.52,7,535.0,1,0,0
331.44,0,668.0,1,0,0
2.94,4,680.0,1,0,0
204.76,7,374.0,1,0,0
11.37,11,551.0,1,0,0
151.26,19,132.0,1,0,0
24.76,15,233.0,1,0,0
57.12,15,322.0,1,0,0
31.65,23,1109.0,1,0,0
26.91,5,445.0,1,0,0
55.59,23,138.0,1,0,0
14.58,3,454.0,1,0,0
52.85,16,193.0,1,0,0
8.8,9,2070.0,1,0,0
13.13,20,210.0,1,0,0
16.97,11,1149.0,1,0,0
27.15,1,1328.0,1,0,0
123.0,12,898.0,2,0,0
11.62,9,486.0,2,0,0
11.29,12,287.0,1,0,0
8.33,2,459.0,1,0,0
19.0,9,869.0,1,0,0
57.81,3,147.0,1,0,0
12.83,15,799.0,3,0,0
21.59,6,399.0,1,0,0
15.37,7,724.0,1,0,0
33.29,7,468.0,2,0,0
2.98,12,543.0,1,0,0
59.78,12,365.0,1,0,0
87.41,5,107.0,1,0,0
11.54,14,124.0,1,0,0
27.85,12,610.0,3,0,0
10.61,2,326.0,1,0,0
95.46,20,635.0,1,0,0
62.41,8,709.0,1,0,0
846.55,4,1611.0,1,0,0
23.81,8,448.0,1,0,0
11.05,14,279.0,1,0,0
17.44,12,678.0,1,0,0
7.14,17,541.0,1,0,0
38.56,11,304.0,1,0,0
43.35,20,661.0,1,0,0
87.93,17,83.0,1,0,0
48.44,19,94.0,1,0,0
18.93,12,876.0,1,0,0
134.99,10,294.0,1,0,0
59.51,7,542.0,1,0,0
79.53,5,61.0,1,0,0
7.96,13,188.0,3,0,0
11.74,7,468.0,1,0,0
14.67,3,408.0,1,0,0
19.57,0,413.0,1,0,0
2.49,9,428.0,1,0,1
122.69,10,485.0,3,0,0
24.22,16,352.0,1,0,0
81.96,9,661.0,1,0,0
75.37,1,266.0,1,0,0
173.14,5,109.0,1,0,0
60.15,16,162.0,1,0,0
48.06,8,1141.0,1,0,0
13.35,11,978.0,1,0,0
36.14,7,204.0,1,0,0
236.57,23,625.0,1,0,0
4.16,7,915.0,1,0,0
14.04,17,183.0,1,0,0
43.48,2,273.0,2,0,0
203.74,10,488.0,1,0,0
9.02,12,291.0,1,0,0
19.03,12,189.0,1,0,0
38.22,12,375.0,2,1,0
1142.09,9,524.0,1,0,0
11.9,8,8.0,1,0,0
27.0,15,481.0,3,0,0
76.25,14,425.0,1,0,0
14.45,12,397.0,1,0,0
50.73,10,190.0,1,0,0
52.46,5,561.0,1,0,0
21.61,14,238.0,1,0,0
49.08,12,295.0,2,0,0
238.05,12,148.0,1,1,0
38.02,21,776.0,1,0,0
20.2,3,610.0,1,0,0
13.99,3,1183.0,1,0,0
43.15,0,1484.0,1,0,0
109.3,22,220.0,1,0,0
39.29,11,823.0,1,0,0
47.47,14,810.0,1,0,0
699.01,1,249.0,1,0,0
13.84,4,169.0,1,0,0
9.64,15,664.0,3,0,0
45.64,7,689.0,1,0,0
26.03,14,186.0,1,0,0
64.44,7,308.0,2,0,0
138.52,7,655.0,1,0,0
50.33,15,554.0,3,0,0
26.62,2,835.0,1,0,0
60.55,2,871.0,3,0,0
58.16,21,390.0,2,0,0
30.04,15,255.0,1,0,0
17.23,13,386.0,1,0,0
71.84,15,1361.0,1,1,0
26.46,23,188.0,1,0,0
8.94,9,1115.0,1,0,0
72.86,4,801.0,1,0,0
18.3,11,758.0,1,0,0
17.89,13,282.0,1,0,0
70.06,13,326.0,1,0,0
13.49,23,524.0,1,0,0
27.04,18,377.0,1,0,0
10.71,15,462.0,1,0,0
5.72,2,160.0,3,0,0
46.18,18,208.0,3,0,0
196.96,17,364.0,1,0,0
12.07,17,737.0,2,0,0
125.06,12,173.0,1,0,0
111.92,18,387.0,1,1,0
185.28,17,746.0,1,0,0
9.62,17,223.0,1,0,0
15.53,3,117.0,1,0,0
217.59,18,179.0,1,0,0
31.02,4,480.0,1,0,0
32.66,15,358.0,1,0,0
74.47,20,304.0,1,0,0
66.74,12,249.0,2,0,0
17.66,21,124.0,1,0,0
26.02,18,47.0,1,0,0
69.09,1,829.0,1,0,0
45.29,23,453.0,3,0,0
14.44,22,532.0,1,0,0
144.66,3,265.0,1,0,0
88.67,22,115.0,1,0,0
23.23,5,517.0,1,0,0
17.79,8,35.0,1,0,0
96.57,16,510.0,1,0,0
2.11,10,664.0,1,0,0
37.97,14,1760.0,1,0,0
17.03,19,867.0,1,0,0
15.52,18,604.0,1,0,0
92.85,3,410.0,1,0,0
47.95,21,841.0,1,0,0
1129.32,21,1094.0,1,0,0
26.52,1,194.0,1,0,0
51.85,9,443.0,1,0,0
6.85,7,470.0,3,2,0
108.76,5,113.0,1,0,0
17.32,21,171.0,1,0,0
44.15,11,1135.0,2,0,0
152.02,2,187.0,1,0,0
133.58,2,738.0,1,0,0
60.58,12,195.0,1,1,0
149.79,1,513.0,1,0,0
20.76,7,900.0,1,0,0
11.86,8,224.0,1,0,0
6.04,17,316.0,1,0,0
65.41,22,567.0,1,0,0
329.2,9,376.0,1,0,0
23.8,0,89.0,2,0,0
34.92,20,302.0,1,0,0
24.03,21,998.0,1,0,0
60.19,11,108.0,1,0,0
4.25,11,241.0,1,0,0
91.85,0,787.0,1,0,0
118.88,0,446.0,1,0,0
15.75,18,1105.0,1,0,0
10.81,2,584.0,1,0,0
12.51,18,422.0,1,1,0
64.72,4,1053.0,1,0,0
180.45,0,491.0,1,0,0
10.95,16,273.0,1,0,0
5.82,4,251.0,1,0,0
38.48,6,2109.0,1,0,0
46.44,1,68.0,1,0,0
76.97,6,461.0,1,0,0
15.39,17,809.0,1,0,0
78.93,0,749.0,1,0,0
120.11,11,91.0,1,1,0
5.18,11,351.0,1,0,0
24.06,16,615.0,1,0,0
68.3,13,621.0,1,0,0
81.29,20,499.0,1,1,0
17.84,11,263.0,1,0,0
3.6,19,304.0,1,0,0
13.67,8,616.0,1,0,0
6.51,17,395.0,2,0,0
18.24,17,1011.0,1,0,0
108.06,7,157.0,1,0,0
16.01,11,260.0,2,0,0
36.38,3,55.0,1,0,0
8.22,22,361.0,1,0,0
95.72,11,266.0,1,0,0
16.0,20,149.0,1,0,0
9.89,18,457.0,1,0,0
279.7,8,182.0,3,0,1
48.15,12,262.0,1,0,0
71.72,22,710.0,1,0,0
3.31,8,631.0,1,0,0
167.78,1,426.0,1,0,0
234.81,23,1209.0,1,0,0
27.89,5,254.0,3,0,0
23.1,5,665.0,1,0,0
16.69,20,59.0,1,0,0
112.01,14,453.0,1,0,0
5.36,23,577.0,1,0,0
47.22,6,566.0,1,0,0
321.48,4,706.0,1,0,0
37.96,22,659.0,1,1,0
312.49,20,642.0,2,0,0
33.33,5,915.0,1,0,0
22.86,15,491.0,1,0,0
92.43,18,1022.0,1,0,0
29.77,2,1109.0,1,1,0
36.31,6,846.0,1,0,0
20.35,7,710.0,1,0,0
8.09,1,601.0,1,0,0
22.72,19,831.0,1,0,0
72.87,0,1090.0,1,0,0
111.85,22,238.0,1,0,0
29.81,5,581.0,1,0,0
46.11,12,744.0,1,0,0
11.14,1,1129.0,2,0,0
26.44,6,604.0,1,0,0
27.11,5,168.0,1,1,0
27.7,22,616.0,1,1,0
34.78,22,1236.0,3,0,0
48.66,23,76.0,1,0,0
131.77,13,446.0,1,0,0
78.67,21,217.0,1,0,0
58.7,10,174.0,1,0,0
8.03,0,1010.0,1,0,0
12.89,3,715.0,2,0,0
34.36,23,491.0,1,0,0
