InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536038,S1004,Travel Tumbler,Merch,11,2024-01-04,18.9,12237.0,Netherlands
536038,S1003,Paper Filters x100,Supplies,3,2024-01-04,4.25,12237.0,Netherlands
536038,S1004,Travel Tumbler,Merch,6,2024-01-04,18.9,,Netherlands
536039,S1006,Milk Frother,Equipment,6,2024-01-04,31.0,12263.0,United Kingdom
536039,S1001,Ceramic Mug,Merch,8,2024-01-04,8.75,12263.0,United Kingdom
536039,S1003,Paper Filters x100,Supplies,8,2024-01-04,4.25,12263.0,United Kingdom
536040,S1003,Paper Filters x100,Supplies,1,2024-01-02,4.25,12293.0,United Kingdom
536040,S1006,Milk Frother,Equipment,9,2024-01-02,31.0,12293.0,United Kingdom
536040,S1006,Milk Frother,Equipment,11,2024-01-02,31.0,12293.0,United Kingdom
536041,S1005,Decaf Beans 1kg,Beans,10,2024-01-26,22.5,12291.0,United Kingdom
536041,S1005,Decaf Beans 1kg,Beans,11,2024-01-26,22.5,12291.0,United Kingdom
536041,S1007,Gift Card,Other,7,2024-01-26,25.0,12291.0,United Kingdom
536042,S1000,Cold Brew Concentrate,Beverage,6,2024-01-02,12.5,12118.0,Netherlands
536043,S1007,Gift Card,Other,3,2024-01-20,25.0,12008.0,United Kingdom
536044,S1004,Travel Tumbler,Merch,2,2024-01-02,18.9,12097.0,Germany
536045,S1003,Paper Filters x100,Supplies,4,2024-01-03,4.25,12066.0,Germany
536046,S1006,Milk Frother,Equipment,6,2024-01-16,31.0,12343.0,Ireland
536046,S1005,Decaf Beans 1kg,Beans,3,2024-01-16,22.5,,Ireland
536047,S1003,Paper Filters x100,Supplies,1,2024-01-22,4.25,12244.0,United Kingdom
536047,S1001,Ceramic Mug,Merch,10,2024-01-22,8.75,12244.0,United Kingdom
536048,S1000,Cold Brew Concentrate,Beverage,7,2024-01-24,12.5,12360.0,Ireland
536049,S1002,Espresso Beans 1kg,Beans,8,2024-01-05,24.0,12135.0,United Kingdom
536050,S1006,Milk Frother,Equipment,6,2024-01-09,31.0,12121.0,France
536050,S1006,Milk Frother,Equipment,4,2024-01-09,31.0,12121.0,France
536051,S1003,Paper Filters x100,Supplies,3,2024-01-22,4.25,12051.0,France
536051,S1004,Travel Tumbler,Merch,7,2024-01-22,18.9,12051.0,France
536051,S1003,Paper Filters x100,Supplies,8,2024-01-22,4.25,12051.0,France
536052,S1005,Decaf Beans 1kg,Beans,1,2024-01-03,22.5,12317.0,Germany
536052,S1005,Decaf Beans 1kg,Beans,11,2024-01-03,22.5,12317.0,Germany
536053,S1000,Cold Brew Concentrate,Beverage,9,2024-01-11,12.5,12329.0,France
536054,S1001,Ceramic Mug,Merch,5,2024-01-26,8.75,12186.0,Netherlands
536055,S1001,Ceramic Mug,Merch,7,2024-01-19,8.75,12010.0,Germany
536056,S1002,Espresso Beans 1kg,Beans,11,2024-01-11,24.0,12358.0,Ireland
536057,S1004,Travel Tumbler,Merch,5,2024-01-17,18.9,12182.0,Germany
536058,S1006,Milk Frother,Equipment,7,2024-01-19,31.0,12076.0,United Kingdom
536058,S1003,Paper Filters x100,Supplies,4,2024-01-19,4.25,12076.0,United Kingdom
536058,S1002,Espresso Beans 1kg,Beans,8,2024-01-19,24.0,12076.0,United Kingdom
536059,S1001,Ceramic Mug,Merch,4,2024-01-20,8.75,12215.0,United Kingdom
536060,S1006,Milk Frother,Equipment,10,2024-01-03,31.0,12237.0,United Kingdom
536060,S1004,Travel Tumbler,Merch,11,2024-01-03,18.9,12237.0,United Kingdom
536061,S1007,Gift Card,Other,2,2024-01-06,25.0,12119.0,United Kingdom
536061,S1004,Travel Tumbler,Merch,2,2024-01-06,18.9,12119.0,United Kingdom
536061,S1006,Milk Frother,Equipment,2,2024-01-06,31.0,12119.0,United Kingdom
536062,S1002,Espresso Beans 1kg,Beans,11,2024-01-26,24.0,12295.0,United Kingdom
536062,S1002,Espresso Beans 1kg,Beans,10,2024-01-26,24.0,12295.0,United Kingdom
536062,S1006,Milk Frother,Equipment,6,2024-01-26,31.0,12295.0,United Kingdom
536063,S1001,Ceramic Mug,Merch,11,2024-01-01,8.75,12247.0,United Kingdom
536063,S1006,Milk Frother,Equipment,5,2024-01-01,31.0,12247.0,United Kingdom
536064,S1005,Decaf Beans 1kg,Beans,1,2024-01-03,22.5,,France
536064,S1006,Milk Frother,Equipment,7,2024-01-03,31.0,,France
536065,S1005,Decaf Beans 1kg,Beans,1,2024-01-10,22.5,12330.0,Germany
536065,S1001,Ceramic Mug,Merch,7,2024-01-10,8.75,,Germany
536066,S1002,Espresso Beans 1kg,Beans,9,2024-01-06,24.0,12326.0,France
536067,S1004,Travel Tumbler,Merch,2,2024-01-18,18.9,12214.0,France
536067,S1007,Gift Card,Other,3,2024-01-18,25.0,12214.0,France
536067,S1000,Cold Brew Concentrate,Beverage,10,2024-01-18,12.5,12214.0,France
536068,S1007,Gift Card,Other,8,2024-01-21,25.0,12051.0,Germany
536068,S1007,Gift Card,Other,10,2024-01-21,25.0,12051.0,Germany
536069,S1002,Espresso Beans 1kg,Beans,8,2024-01-17,24.0,12337.0,France
536069,S1001,Ceramic Mug,Merch,3,2024-01-17,8.75,12337.0,France
536070,S1005,Decaf Beans 1kg,Beans,3,2024-01-22,22.5,12236.0,France
536071,S1003,Paper Filters x100,Supplies,1,2024-01-10,4.25,12177.0,United Kingdom
536071,S1002,Espresso Beans 1kg,Beans,11,2024-01-10,24.0,12177.0,United Kingdom
536072,S1004,Travel Tumbler,Merch,1,2024-01-11,18.9,12041.0,United Kingdom
536072,S1005,Decaf Beans 1kg,Beans,10,2024-01-11,22.5,12041.0,United Kingdom
536072,S1003,Paper Filters x100,Supplies,1,2024-01-11,4.25,12041.0,United Kingdom
536073,S1006,Milk Frother,Equipment,2,2024-01-11,31.0,12332.0,Netherlands
536073,S1000,Cold Brew Concentrate,Beverage,10,2024-01-11,12.5,12332.0,Netherlands
536074,S1005,Decaf Beans 1kg,Beans,11,2024-01-05,22.5,12051.0,Ireland
536074,S1006,Milk Frother,Equipment,5,2024-01-05,31.0,12051.0,Ireland
536075,S1005,Decaf Beans 1kg,Beans,12,2024-01-13,22.5,12368.0,United Kingdom
536076,S1004,Travel Tumbler,Merch,12,2024-01-05,18.9,12071.0,United Kingdom
536076,S1003,Paper Filters x100,Supplies,12,2024-01-05,4.25,12071.0,United Kingdom
536077,S1006,Milk Frother,Equipment,3,2024-01-13,31.0,12300.0,United Kingdom
536077,S1006,Milk Frother,Equipment,10,2024-01-13,31.0,12300.0,United Kingdom
536077,S1001,Ceramic Mug,Merch,1,2024-01-13,8.75,12300.0,United Kingdom
536078,S1002,Espresso Beans 1kg,Beans,5,2024-01-01,24.0,12061.0,United Kingdom
536079,S1005,Decaf Beans 1kg,Beans,1,2024-01-07,22.5,12124.0,France
536079,S1007,Gift Card,Other,12,2024-01-07,25.0,12124.0,France
536080,S1001,Ceramic Mug,Merch,1,2024-01-26,8.75,12101.0,Netherlands
536080,S1003,Paper Filters x100,Supplies,9,2024-01-26,4.25,,Netherlands
536081,S1007,Gift Card,Other,7,2024-01-12,25.0,12090.0,United Kingdom
536082,S1006,Milk Frother,Equipment,8,2024-01-05,31.0,12067.0,United Kingdom
536082,S1003,Paper Filters x100,Supplies,12,2024-01-05,4.25,12067.0,United Kingdom
536083,S1002,Espresso Beans 1kg,Beans,7,2024-01-24,24.0,12073.0,Germany
536084,S1003,Paper Filters x100,Supplies,7,2024-02-20,4.25,12113.0,United Kingdom
536084,S1007,Gift Card,Other,5,2024-02-20,25.0,12113.0,United Kingdom
536085,S1001,Ceramic Mug,Merch,4,2024-02-25,8.75,12072.0,France
536085,S1001,Ceramic Mug,Merch,5,2024-02-25,8.75,12072.0,France
536086,S1001,Ceramic Mug,Merch,3,2024-02-27,8.75,12045.0,Ireland
536086,S1005,Decaf Beans 1kg,Beans,12,2024-02-27,22.5,12045.0,Ireland
536086,S1006,Milk Frother,Equipment,3,2024-02-27,31.0,12045.0,Ireland
536087,S1007,Gift Card,Other,10,2024-02-14,25.0,12176.0,United Kingdom
536087,S1000,Cold Brew Concentrate,Beverage,10,2024-02-14,12.5,12176.0,United Kingdom
536088,S1004,Travel Tumbler,Merch,3,2024-02-28,18.9,12126.0,Germany
536089,S1006,Milk Frother,Equipment,10,2024-02-25,31.0,12342.0,United Kingdom
536090,S1002,Espresso Beans 1kg,Beans,11,2024-02-24,24.0,12331.0,France
536090,S1005,Decaf Beans 1kg,Beans,9,2024-02-24,22.5,,France
536090,S1007,Gift Card,Other,9,2024-02-24,25.0,12331.0,France
536091,S1006,Milk Frother,Equipment,10,2024-02-05,31.0,12131.0,United Kingdom
536092,S1007,Gift Card,Other,4,2024-02-24,25.0,12066.0,Netherlands
536092,S1006,Milk Frother,Equipment,12,2024-02-24,31.0,12066.0,Netherlands
536093,S1000,Cold Brew Concentrate,Beverage,3,2024-02-15,12.5,12117.0,United Kingdom
536094,S1000,Cold Brew Concentrate,Beverage,4,2024-02-13,12.5,12386.0,Germany
536094,S1004,Travel Tumbler,Merch,10,2024-02-13,18.9,12386.0,Germany
536094,S1003,Paper Filters x100,Supplies,9,2024-02-13,4.25,12386.0,Germany
536095,S1003,Paper Filters x100,Supplies,3,2024-02-27,4.25,12327.0,Germany
536096,S1005,Decaf Beans 1kg,Beans,5,2024-02-07,22.5,12166.0,Germany
536096,S1003,Paper Filters x100,Supplies,9,2024-02-07,4.25,12166.0,Germany
536096,S1003,Paper Filters x100,Supplies,3,2024-02-07,4.25,12166.0,Germany
536097,S1000,Cold Brew Concentrate,Beverage,9,2024-02-22,12.5,12212.0,Germany
536098,S1006,Milk Frother,Equipment,6,2024-02-19,31.0,12291.0,United Kingdom
536098,S1003,Paper Filters x100,Supplies,5,2024-02-19,4.25,12291.0,United Kingdom
536098,S1000,Cold Brew Concentrate,Beverage,9,2024-02-19,12.5,12291.0,United Kingdom
536099,S1000,Cold Brew Concentrate,Beverage,12,2024-02-21,12.5,12372.0,United Kingdom
536099,S1004,Travel Tumbler,Merch,5,2024-02-21,18.9,12372.0,United Kingdom
536099,S1004,Travel Tumbler,Merch,1,2024-02-21,18.9,12372.0,United Kingdom
536100,S1000,Cold Brew Concentrate,Beverage,8,2024-02-26,12.5,12372.0,United Kingdom
536100,S1000,Cold Brew Concentrate,Beverage,7,2024-02-26,12.5,12372.0,United Kingdom
536101,S1001,Ceramic Mug,Merch,1,2024-02-17,8.75,12316.0,United Kingdom
536102,S1005,Decaf Beans 1kg,Beans,6,2024-02-15,22.5,12078.0,Netherlands
536103,S1004,Travel Tumbler,Merch,6,2024-02-20,18.9,12373.0,France
536104,S1000,Cold Brew Concentrate,Beverage,10,2024-02-24,12.5,12322.0,United Kingdom
536104,S1002,Espresso Beans 1kg,Beans,9,2024-02-24,24.0,12322.0,United Kingdom
536105,S1004,Travel Tumbler,Merch,4,2024-02-12,18.9,12166.0,Germany
536106,S1003,Paper Filters x100,Supplies,6,2024-02-26,4.25,12158.0,France
536106,S1000,Cold Brew Concentrate,Beverage,10,2024-02-26,12.5,12158.0,France
536107,S1006,Milk Frother,Equipment,10,2024-02-10,31.0,12024.0,United Kingdom
536108,S1007,Gift Card,Other,6,2024-02-03,25.0,12152.0,Netherlands
536108,S1006,Milk Frother,Equipment,9,2024-02-03,31.0,12152.0,Netherlands
536108,S1007,Gift Card,Other,1,2024-02-03,25.0,12152.0,Netherlands
536109,S1004,Travel Tumbler,Merch,6,2024-02-25,18.9,12343.0,United Kingdom
536110,S1002,Espresso Beans 1kg,Beans,8,2024-02-22,24.0,12223.0,Germany
536110,S1003,Paper Filters x100,Supplies,6,2024-02-22,4.25,12223.0,Germany
536110,S1000,Cold Brew Concentrate,Beverage,3,2024-02-22,12.5,12223.0,Germany
536111,S1003,Paper Filters x100,Supplies,7,2024-02-09,4.25,12254.0,United Kingdom
536112,S1007,Gift Card,Other,5,2024-02-10,25.0,12399.0,United Kingdom
536112,S1001,Ceramic Mug,Merch,7,2024-02-10,8.75,12399.0,United Kingdom
536113,S1003,Paper Filters x100,Supplies,5,2024-02-25,4.25,12112.0,Ireland
536113,S1002,Espresso Beans 1kg,Beans,4,2024-02-25,24.0,,Ireland
536113,S1007,Gift Card,Other,4,2024-02-25,25.0,,Ireland
536114,S1001,Ceramic Mug,Merch,11,2024-02-04,8.75,12197.0,Germany
536115,S1001,Ceramic Mug,Merch,12,2024-02-14,8.75,12216.0,United Kingdom
536116,S1001,Ceramic Mug,Merch,6,2024-02-14,8.75,12168.0,Netherlands
536116,S1006,Milk Frother,Equipment,10,2024-02-14,31.0,12168.0,Netherlands
536116,S1005,Decaf Beans 1kg,Beans,6,2024-02-14,22.5,12168.0,Netherlands
536117,S1001,Ceramic Mug,Merch,7,2024-02-16,8.75,12263.0,United Kingdom
536118,S1004,Travel Tumbler,Merch,1,2024-02-23,18.9,12126.0,France
536118,S1001,Ceramic Mug,Merch,9,2024-02-23,8.75,12126.0,France
536118,S1004,Travel Tumbler,Merch,10,2024-02-23,18.9,12126.0,France
536119,S1005,Decaf Beans 1kg,Beans,7,2024-02-02,22.5,12097.0,United Kingdom
536120,S1002,Espresso Beans 1kg,Beans,8,2024-02-11,24.0,12098.0,Germany
C536120,S1007,Gift Card,Other,-4,2024-02-11,25.0,12098.0,Germany
536121,S1005,Decaf Beans 1kg,Beans,2,2024-02-15,22.5,12076.0,United Kingdom
536121,S1001,Ceramic Mug,Merch,1,2024-02-15,8.75,12076.0,United Kingdom
536121,S1007,Gift Card,Other,5,2024-02-15,25.0,12076.0,United Kingdom
536122,S1003,Paper Filters x100,Supplies,1,2024-02-07,4.25,12115.0,United Kingdom
536123,S1005,Decaf Beans 1kg,Beans,10,2024-02-22,22.5,12388.0,United Kingdom
536123,S1001,Ceramic Mug,Merch,2,2024-02-22,8.75,12388.0,United Kingdom
536124,S1003,Paper Filters x100,Supplies,6,2024-02-23,4.25,12054.0,United Kingdom
536124,S1006,Milk Frother,Equipment,12,2024-02-23,31.0,12054.0,United Kingdom
536124,S1002,Espresso Beans 1kg,Beans,8,2024-02-23,24.0,12054.0,United Kingdom
536125,S1006,Milk Frother,Equipment,1,2024-02-22,31.0,12321.0,Germany
536125,S1002,Espresso Beans 1kg,Beans,3,2024-02-22,24.0,12321.0,Germany
536126,S1000,Cold Brew Concentrate,Beverage,2,2024-02-03,12.5,12102.0,United Kingdom
536126,S1003,Paper Filters x100,Supplies,6,2024-02-03,4.25,12102.0,United Kingdom
536127,S1001,Ceramic Mug,Merch,5,2024-02-04,8.75,12198.0,Germany
536127,S1001,Ceramic Mug,Merch,12,2024-02-04,8.75,12198.0,Germany
536127,S1002,Espresso Beans 1kg,Beans,11,2024-02-04,24.0,12198.0,Germany
536128,S1003,Paper Filters x100,Supplies,2,2024-02-01,4.25,12384.0,United Kingdom
536129,S1003,Paper Filters x100,Supplies,2,2024-02-01,4.25,12339.0,United Kingdom
536130,S1004,Travel Tumbler,Merch,3,2024-02-22,18.9,12065.0,United Kingdom
536130,S1003,Paper Filters x100,Supplies,8,2024-02-22,4.25,12065.0,United Kingdom
536130,S1001,Ceramic Mug,Merch,5,2024-02-22,8.75,12065.0,United Kingdom
536131,S1001,Ceramic Mug,Merch,8,2024-02-23,8.75,12188.0,United Kingdom
536131,S1007,Gift Card,Other,3,2024-02-23,25.0,12188.0,United Kingdom
536131,S1007,Gift Card,Other,8,2024-02-23,25.0,12188.0,United Kingdom
536132,S1007,Gift Card,Other,8,2024-02-01,25.0,12267.0,United Kingdom
536132,S1002,Espresso Beans 1kg,Beans,10,2024-02-01,24.0,12267.0,United Kingdom
536133,S1007,Gift Card,Other,2,2024-02-27,25.0,12041.0,United Kingdom
536134,S1006,Milk Frother,Equipment,10,2024-02-10,31.0,12045.0,United Kingdom
536135,S1004,Travel Tumbler,Merch,10,2024-02-28,18.9,12375.0,Netherlands
536135,S1005,Decaf Beans 1kg,Beans,10,2024-02-28,22.5,12375.0,Netherlands
536136,S1007,Gift Card,Other,8,2024-02-06,25.0,12271.0,Germany
536136,S1006,Milk Frother,Equipment,5,2024-02-06,31.0,12271.0,Germany
536136,S1003,Paper Filters x100,Supplies,7,2024-02-06,4.25,12271.0,Germany
536137,S1005,Decaf Beans 1kg,Beans,8,2024-02-21,22.5,12158.0,United Kingdom
536138,S1000,Cold Brew Concentrate,Beverage,5,2024-02-27,12.5,12168.0,Netherlands
536138,S1004,Travel Tumbler,Merch,1,2024-02-27,18.9,12168.0,Netherlands
536138,S1003,Paper Filters x100,Supplies,2,2024-02-27,4.25,12168.0,Netherlands
536139,S1003,Paper Filters x100,Supplies,7,2024-02-09,4.25,12108.0,United Kingdom
536139,S1007,Gift Card,Other,1,2024-02-09,25.0,12108.0,United Kingdom
536139,S1002,Espresso Beans 1kg,Beans,6,2024-02-09,24.0,12108.0,United Kingdom
536140,S1001,Ceramic Mug,Merch,5,2024-02-11,8.75,12359.0,Germany
536140,S1002,Espresso Beans 1kg,Beans,1,2024-02-11,24.0,12359.0,Germany
536140,S1000,Cold Brew Concentrate,Beverage,10,2024-02-11,12.5,12359.0,Germany
536141,S1006,Milk Frother,Equipment,1,2024-02-04,31.0,12030.0,United Kingdom
536142,S1006,Milk Frother,Equipment,12,2024-02-07,31.0,12274.0,United Kingdom
536143,S1001,Ceramic Mug,Merch,4,2024-02-20,8.75,12286.0,United Kingdom
536143,S1006,Milk Frother,Equipment,7,2024-02-20,31.0,12286.0,United Kingdom
536144,S1004,Travel Tumbler,Merch,7,2024-02-10,18.9,12047.0,United Kingdom
536145,S1002,Espresso Beans 1kg,Beans,9,2024-02-03,24.0,12201.0,Netherlands
536146,S1004,Travel Tumbler,Merch,8,2024-02-26,18.9,12305.0,Germany
536147,S1002,Espresso Beans 1kg,Beans,9,2024-02-25,24.0,12282.0,United Kingdom
536147,S1006,Milk Frother,Equipment,12,2024-02-25,31.0,12282.0,United Kingdom
536147,S1005,Decaf Beans 1kg,Beans,3,2024-02-25,22.5,12282.0,United Kingdom
536148,S1001,Ceramic Mug,Merch,9,2024-02-14,8.75,12296.0,United Kingdom
536148,S1001,Ceramic Mug,Merch,5,2024-02-14,8.75,12296.0,United Kingdom
536148,S1000,Cold Brew Concentrate,Beverage,1,2024-02-14,12.5,12296.0,United Kingdom
536149,S1001,Ceramic Mug,Merch,11,2024-02-20,8.75,12224.0,Ireland
536150,S1000,Cold Brew Concentrate,Beverage,11,2024-02-25,12.5,12292.0,United Kingdom
536150,S1003,Paper Filters x100,Supplies,6,2024-02-25,4.25,12292.0,United Kingdom
536151,S1000,Cold Brew Concentrate,Beverage,11,2024-02-09,12.5,12240.0,United Kingdom
536151,S1001,Ceramic Mug,Merch,8,2024-02-09,8.75,12240.0,United Kingdom
536152,S1006,Milk Frother,Equipment,6,2024-02-20,31.0,12108.0,United Kingdom
536153,S1007,Gift Card,Other,8,2024-02-21,25.0,12142.0,United Kingdom
536153,S1002,Espresso Beans 1kg,Beans,1,2024-02-21,24.0,12142.0,United Kingdom
536153,S1004,Travel Tumbler,Merch,7,2024-02-21,18.9,12142.0,United Kingdom
536154,S1006,Milk Frother,Equipment,11,2024-02-12,31.0,12202.0,United Kingdom
536155,S1000,Cold Brew Concentrate,Beverage,11,2024-02-23,12.5,12320.0,United Kingdom
536155,S1004,Travel Tumbler,Merch,6,2024-02-23,18.9,12320.0,United Kingdom
536156,S1003,Paper Filters x100,Supplies,7,2024-02-01,4.25,12346.0,Netherlands
536157,S1000,Cold Brew Concentrate,Beverage,5,2024-02-22,12.5,12226.0,United Kingdom
536157,S1002,Espresso Beans 1kg,Beans,4,2024-02-22,24.0,12226.0,United Kingdom
536157,S1006,Milk Frother,Equipment,6,2024-02-22,31.0,12226.0,United Kingdom
536158,S1007,Gift Card,Other,4,2024-02-22,25.0,12187.0,United Kingdom
536158,S1003,Paper Filters x100,Supplies,1,2024-02-22,4.25,12187.0,United Kingdom
536158,S1005,Decaf Beans 1kg,Beans,5,2024-02-22,22.5,12187.0,United Kingdom
536159,S1004,Travel Tumbler,Merch,3,2024-02-03,18.9,12071.0,United Kingdom
536160,S1006,Milk Frother,Equipment,4,2024-02-15,31.0,12381.0,Germany
536160,S1004,Travel Tumbler,Merch,7,2024-02-15,18.9,12381.0,Germany
536161,S1006,Milk Frother,Equipment,12,2024-02-17,31.0,12305.0,France
536162,S1003,Paper Filters x100,Supplies,3,2024-03-17,4.25,12183.0,United Kingdom
536162,S1001,Ceramic Mug,Merch,7,2024-03-17,8.75,12183.0,United Kingdom
536162,S1004,Travel Tumbler,Merch,11,2024-03-17,18.9,12183.0,United Kingdom
536163,S1006,Milk Frother,Equipment,9,2024-03-24,31.0,12326.0,United Kingdom
536163,S1002,Espresso Beans 1kg,Beans,5,2024-03-24,24.0,12326.0,United Kingdom
536164,S1004,Travel Tumbler,Merch,5,2024-03-11,18.9,12307.0,United Kingdom
536164,S1005,Decaf Beans 1kg,Beans,3,2024-03-11,22.5,12307.0,United Kingdom
536164,S1004,Travel Tumbler,Merch,2,2024-03-11,18.9,12307.0,United Kingdom
536165,S1004,Travel Tumbler,Merch,2,2024-03-19,18.9,12042.0,France
536165,S1003,Paper Filters x100,Supplies,3,2024-03-19,4.25,12042.0,France
536165,S1005,Decaf Beans 1kg,Beans,3,2024-03-19,22.5,12042.0,France
536166,S1000,Cold Brew Concentrate,Beverage,7,2024-03-26,12.5,12073.0,Netherlands
536166,S1002,Espresso Beans 1kg,Beans,9,2024-03-26,24.0,12073.0,Netherlands
536166,S1001,Ceramic Mug,Merch,6,2024-03-26,8.75,12073.0,Netherlands
