City,Plan,Channel,SignupDate,AnnualIncome,Sessions,AvgBasket,Churn
CITY_164,pro,app,2023-07-31,44247.0,10,12.3,0
CITY_095,basic,web,2024-09-08,53447.0,8,11.46,0
CITY_107,plus,phone,2024-06-21,48836.0,8,17.94,0
CITY_090,basic,web,2023-11-15,34691.0,4,22.1,1
CITY_055,plus,app,2023-02-21,12589.0,4,14.96,1
CITY_050,plus,app,2023-10-05,28699.0,6,8.83,0
CITY_158,plus,phone,2024-04-08,17718.0,5,9.29,0
CITY_067,basic,web,2024-12-08,78765.0,6,38.75,0
CITY_058,basic,web,2023-06-27,19862.0,8,22.5,1
CITY_073,basic,app,2023-06-30,19743.0,3,85.42,1
CITY_130,pro,web,2023-12-11,17411.0,9,8.17,0
CITY_127,plus,app,2023-10-19,58618.0,7,40.42,1
CITY_033,basic,app,2024-01-05,49736.0,3,21.03,1
CITY_007,plus,app,2023-03-22,23526.0,6,30.27,1
CITY_038,plus,web,2023-09-29,36278.0,4,17.38,0
CITY_007,basic,web,2024-09-20,26613.0,8,26.65,0
CITY_026,basic,app,2023-07-23,22082.0,4,11.51,1
CITY_085,basic,web,2024-11-18,,5,32.73,0
CITY_147,basic,web,2023-08-08,28759.0,3,30.25,0
CITY_132,basic,app,2023-02-03,22531.0,6,45.91,1
CITY_034,basic,app,2023-08-22,,9,20.06,0
CITY_127,pro,web,2024-08-30,46099.0,9,18.74,1
CITY_047,plus,web,2023-01-10,20369.0,6,7.25,0
CITY_080,basic,app,2023-10-10,40192.0,4,19.37,0
CITY_036,pro,phone,2023-09-06,41481.0,6,5.07,0
CITY_142,pro,web,2023-02-08,18929.0,4,56.79,1
CITY_144,plus,app,2023-04-15,32170.0,6,13.37,1
CITY_136,basic,phone,2023-01-05,28022.0,6,28.31,1
CITY_090,basic,app,2023-08-30,47695.0,8,29.94,1
CITY_145,basic,app,2024-04-14,20598.0,3,18.49,0
CITY_037,basic,app,2024-11-22,20419.0,6,19.11,1
CITY_159,pro,app,2024-07-02,,3,57.88,0
CITY_163,plus,app,2023-01-25,31620.0,4,8.58,0
CITY_176,basic,phone,2024-03-05,10778.0,8,17.36,0
CITY_146,plus,web,2024-04-21,81459.0,0,40.69,0
CITY_093,basic,app,2024-05-10,18281.0,6,11.29,1
CITY_055,pro,phone,2023-01-20,34761.0,10,15.47,0
CITY_051,basic,app,2024-09-30,44993.0,5,123.85,1
CITY_059,pro,web,2024-11-17,15958.0,6,13.06,0
CITY_066,basic,web,2023-01-30,73323.0,5,47.47,0
CITY_018,basic,app,2023-08-25,60524.0,2,12.27,1
CITY_114,plus,app,2024-04-11,20837.0,7,20.61,0
CITY_017,basic,app,2024-01-28,48771.0,4,6.6,0
CITY_137,basic,web,2023-12-18,21881.0,5,14.68,0
CITY_129,basic,web,2024-05-15,38219.0,5,35.86,0
CITY_137,plus,web,2024-04-19,26820.0,9,22.2,0
CITY_148,basic,web,2024-07-14,36729.0,6,25.97,1
CITY_139,basic,web,2023-09-04,32893.0,3,40.61,0
CITY_123,plus,web,2024-02-07,23741.0,6,39.56,1
CITY_047,plus,web,2023-08-19,22619.0,6,90.15,1
CITY_045,pro,web,2024-05-26,9308.0,4,50.25,0
CITY_022,basic,phone,2024-07-05,,12,17.6,0
CITY_152,basic,web,2024-12-26,27821.0,3,18.84,0
CITY_179,plus,app,2023-11-26,22134.0,7,27.12,0
CITY_043,basic,phone,2024-11-08,13904.0,9,54.42,1
CITY_051,pro,web,2023-10-30,49392.0,5,5.39,0
CITY_046,plus,web,2024-04-03,,6,27.21,0
CITY_165,plus,web,2023-01-29,12932.0,9,7.84,0
CITY_119,plus,app,2024-09-20,,7,8.32,0
CITY_076,pro,app,2024-10-09,24865.0,3,31.9,0
CITY_044,basic,web,2024-01-15,22718.0,7,10.72,1
CITY_076,plus,phone,2023-04-19,30530.0,6,8.19,0
CITY_142,basic,web,2023-09-29,28590.0,6,14.77,1
CITY_070,basic,app,2023-12-31,25091.0,5,32.1,0
CITY_058,basic,web,2023-08-14,7728.0,3,19.37,1
CITY_036,basic,phone,2023-05-16,22380.0,10,46.1,1
CITY_153,plus,app,2024-10-07,17961.0,6,14.89,0
CITY_101,plus,phone,2024-05-29,22112.0,7,25.54,1
CITY_153,basic,web,2023-09-24,6652.0,3,50.49,1
CITY_111,basic,app,2024-01-19,35020.0,8,15.91,0
CITY_106,plus,web,2024-08-03,30903.0,7,9.66,0
CITY_054,basic,web,2024-03-03,22611.0,7,14.33,0
CITY_157,pro,web,2024-01-08,23128.0,6,30.1,0
CITY_023,basic,app,2023-01-03,13810.0,4,13.26,0
CITY_115,plus,app,2024-09-22,46255.0,4,99.92,1
CITY_138,plus,phone,2023-08-22,22371.0,5,86.71,1
CITY_061,pro,phone,2024-09-21,59120.0,5,16.14,1
CITY_072,basic,web,2023-03-19,8876.0,4,36.19,1
CITY_050,basic,phone,2024-08-27,40036.0,5,28.24,0
CITY_143,basic,phone,2023-12-12,5561.0,4,19.52,1
CITY_140,pro,web,2024-05-01,10259.0,7,22.17,0
CITY_154,basic,app,2024-07-09,41568.0,4,24.01,1
CITY_025,basic,web,2023-03-22,7126.0,3,15.41,1
CITY_003,basic,web,2024-02-13,35537.0,4,9.97,0
CITY_131,plus,app,2023-07-04,,9,40.96,0
CITY_025,basic,web,2023-10-30,8726.0,3,53.35,1
CITY_098,basic,web,2023-02-16,,5,15.4,0
CITY_028,basic,web,2023-12-06,,6,61.78,1
CITY_006,plus,app,2024-06-18,15085.0,4,57.54,1
CITY_116,plus,web,2024-01-25,,10,9.18,1
CITY_038,basic,web,2023-01-19,,5,12.32,0
CITY_130,basic,web,2023-12-02,55185.0,4,16.87,0
CITY_089,basic,web,2023-10-31,29458.0,8,36.17,0
CITY_091,basic,web,2023-11-02,34781.0,6,11.75,0
CITY_041,plus,web,2024-11-11,,10,16.35,0
CITY_179,basic,web,2023-11-19,,5,64.91,1
CITY_123,basic,phone,2024-05-18,33702.0,5,11.4,0
CITY_077,plus,web,2024-11-27,17993.0,6,67.67,0
CITY_132,plus,phone,2024-07-10,39204.0,7,16.2,0
CITY_174,plus,web,2023-07-29,52703.0,6,18.2,0
CITY_175,basic,web,2024-08-30,16823.0,4,2.62,0
CITY_170,pro,app,2024-01-03,27863.0,3,73.02,1
CITY_160,pro,web,2024-03-05,44993.0,4,38.57,0
CITY_015,basic,web,2024-12-24,6676.0,4,9.55,0
CITY_112,basic,app,2023-07-15,22353.0,7,37.5,1
CITY_072,basic,web,2024-09-17,8576.0,10,56.33,1
CITY_119,plus,web,2024-03-10,15684.0,5,7.77,0
CITY_048,basic,phone,2023-03-09,14970.0,5,34.43,1
CITY_127,plus,app,2024-10-23,11930.0,7,22.1,0
CITY_107,basic,app,2024-02-19,45237.0,4,27.35,0
CITY_020,plus,phone,2023-08-09,21772.0,2,62.45,1
CITY_172,pro,web,2023-12-29,,8,15.08,0
CITY_015,basic,app,2024-07-02,60924.0,3,59.7,1
CITY_022,pro,app,2024-07-15,12797.0,3,62.2,1
CITY_159,basic,phone,2024-03-24,23885.0,7,44.23,1
CITY_014,pro,app,2023-05-18,17240.0,5,29.41,0
CITY_149,basic,web,2024-08-30,31996.0,6,32.49,0
CITY_052,basic,app,2024-12-07,34744.0,9,100.28,0
CITY_080,basic,app,2024-11-13,66138.0,6,21.76,1
CITY_131,plus,web,2023-01-11,8071.0,8,25.76,0
CITY_040,basic,web,2023-03-21,33164.0,4,9.43,0
CITY_018,basic,phone,2023-06-12,66836.0,5,19.52,1
CITY_016,basic,app,2023-10-12,22201.0,7,17.31,0
CITY_095,plus,app,2023-07-10,,7,36.59,0
CITY_137,basic,web,2024-02-09,51082.0,13,9.49,1
CITY_151,plus,app,2023-05-25,40869.0,2,24.73,1
CITY_056,basic,app,2024-09-09,89116.0,4,14.94,0
CITY_034,basic,phone,2023-04-30,42633.0,7,29.21,0
CITY_110,plus,web,2023-01-18,14730.0,10,109.8,0
CITY_093,basic,app,2023-11-14,41690.0,13,20.43,0
CITY_072,plus,app,2024-02-13,25951.0,5,31.16,0
CITY_138,basic,phone,2024-07-24,31593.0,10,45.67,1
CITY_079,basic,app,2024-04-03,27654.0,7,129.08,1
CITY_071,plus,web,2024-10-20,25359.0,10,39.97,1
CITY_077,basic,web,2024-08-09,21862.0,6,18.01,1
CITY_000,plus,web,2024-11-27,38894.0,6,26.2,0
CITY_053,plus,web,2024-07-27,35759.0,3,60.75,1
CITY_030,basic,phone,2023-12-25,30238.0,5,14.69,0
CITY_110,basic,web,2023-12-06,42106.0,4,22.33,0
CITY_120,plus,app,2023-07-25,,5,23.94,1
CITY_094,basic,web,2024-07-21,26767.0,6,9.94,1
CITY_008,plus,phone,2023-06-18,,7,16.03,0
CITY_025,basic,web,2024-10-12,18169.0,6,5.58,0
CITY_017,plus,web,2023-08-28,26572.0,5,19.04,0
CITY_135,plus,phone,2024-04-24,23107.0,3,11.31,1
CITY_135,basic,web,2023-06-19,38903.0,7,25.85,0
CITY_147,plus,web,2023-03-25,,3,11.96,0
CITY_029,plus,app,2023-03-15,43865.0,6,4.14,0
CITY_096,pro,app,2023-08-22,53050.0,4,14.38,0
CITY_007,basic,web,2023-05-17,16927.0,5,7.71,0
CITY_126,basic,web,2023-09-21,21915.0,9,47.23,0
CITY_111,basic,phone,2023-10-04,20768.0,3,45.27,1
CITY_123,plus,phone,2023-03-27,13225.0,8,16.43,0
CITY_097,plus,web,2023-05-04,20243.0,4,11.87,1
CITY_108,basic,web,2023-12-31,20018.0,5,24.6,1
CITY_025,basic,web,2023-02-23,15087.0,10,49.69,1
CITY_051,basic,app,2023-06-25,7067.0,4,3.82,1
CITY_076,plus,app,2023-06-28,23701.0,7,38.26,1
CITY_071,plus,web,2024-10-16,27714.0,3,20.68,0
CITY_012,basic,web,2023-11-04,14577.0,6,21.59,1
CITY_063,pro,web,2024-06-24,67817.0,4,30.89,1
CITY_006,plus,phone,2023-02-17,19556.0,11,41.88,1
CITY_066,basic,app,2023-04-15,20761.0,5,107.99,1
CITY_124,basic,app,2023-09-24,34518.0,13,21.76,1
CITY_077,basic,web,2023-05-08,13645.0,9,42.48,1
CITY_002,basic,web,2023-03-02,33058.0,6,19.84,0
CITY_059,basic,app,2024-07-21,26174.0,6,41.86,1
CITY_046,basic,app,2023-07-05,26726.0,5,22.33,0
CITY_013,basic,phone,2024-05-08,52694.0,5,31.39,0
CITY_008,basic,app,2024-01-29,33458.0,5,11.65,0
CITY_050,basic,web,2024-11-28,20339.0,4,21.18,0
CITY_152,plus,web,2023-04-17,22394.0,6,15.33,1
CITY_118,basic,app,2023-05-16,17155.0,4,58.33,1
CITY_007,plus,phone,2024-01-19,,9,83.8,0
CITY_066,basic,app,2023-05-19,25214.0,7,22.84,1
CITY_106,plus,phone,2024-10-31,56609.0,6,32.03,0
CITY_135,basic,web,2024-10-08,,9,12.97,0
CITY_044,basic,app,2023-10-09,13919.0,7,15.64,1
CITY_159,pro,web,2024-08-31,35501.0,5,15.0,1
CITY_132,basic,web,2023-08-29,35476.0,9,18.15,0
CITY_068,plus,web,2024-07-16,32120.0,2,10.34,0
CITY_006,plus,phone,2023-11-05,21836.0,5,6.34,0
CITY_073,basic,web,2023-07-22,35546.0,13,8.67,0
CITY_089,pro,app,2024-07-10,46918.0,8,48.07,0
CITY_042,basic,app,2023-04-07,34365.0,7,19.57,0
CITY_177,plus,app,2023-05-11,28897.0,6,14.35,0
CITY_021,plus,web,2023-05-27,31881.0,5,25.14,0
CITY_033,plus,app,2024-06-15,107666.0,7,106.41,1
CITY_098,basic,app,2023-09-26,52256.0,9,36.81,0
CITY_135,basic,app,2023-09-10,19703.0,8,26.44,1
CITY_155,plus,web,2024-08-12,51621.0,7,24.69,1
CITY_114,basic,phone,2024-01-06,17364.0,6,10.5,1
CITY_140,plus,app,2024-10-27,38994.0,7,3.17,0
CITY_017,basic,web,2024-02-28,,11,2.75,0
CITY_076,pro,web,2024-05-21,12234.0,7,27.14,0
CITY_164,basic,web,2023-01-14,26009.0,9,23.93,1
CITY_085,basic,app,2024-04-08,15098.0,5,37.52,0
CITY_060,plus,app,2023-04-23,28964.0,4,9.14,0
CITY_082,plus,web,2024-03-24,28989.0,6,20.07,0
CITY_135,basic,web,2024-06-30,7223.0,5,42.22,0
CITY_097,basic,app,2024-12-14,51612.0,3,41.27,1
CITY_086,basic,app,2023-04-30,,7,11.08,1
CITY_004,basic,web,2024-06-10,43969.0,5,14.89,0
CITY_067,basic,app,2024-10-02,12333.0,2,7.72,1
CITY_104,basic,web,2023-06-17,17598.0,5,22.78,0
CITY_095,plus,phone,2023-08-25,24358.0,3,22.33,1
CITY_042,plus,app,2024-11-30,25472.0,6,23.83,0
CITY_019,plus,phone,2024-12-04,26047.0,4,29.19,1
CITY_028,plus,app,2023-09-28,41192.0,2,37.37,0
CITY_167,basic,web,2023-12-09,13457.0,5,19.96,1
CITY_015,pro,app,2024-02-11,21970.0,5,38.16,1
CITY_112,basic,web,2024-08-11,52827.0,6,124.84,0
CITY_176,basic,app,2024-03-07,69315.0,5,27.28,1
CITY_164,basic,app,2024-12-24,34906.0,9,125.61,0
CITY_154,basic,web,2023-11-21,20547.0,8,7.25,1
CITY_127,plus,app,2024-04-27,22002.0,8,14.23,0
CITY_113,basic,app,2024-10-31,12986.0,9,14.88,0
CITY_006,pro,web,2023-08-05,,6,35.95,1
CITY_004,pro,app,2024-01-13,26734.0,7,8.0,1
CITY_165,plus,web,2024-11-25,68434.0,5,13.04,0
CITY_067,pro,app,2023-12-26,49149.0,11,13.74,0
CITY_084,basic,web,2023-05-22,,7,10.74,1
CITY_115,basic,web,2024-08-15,30424.0,8,18.45,1
CITY_067,plus,app,2024-10-13,,7,7.8,0
CITY_020,basic,app,2024-08-16,9956.0,6,6.21,1
CITY_164,plus,phone,2023-08-20,31981.0,6,15.72,1
CITY_107,plus,web,2024-01-08,39207.0,2,11.38,0
CITY_133,pro,web,2023-12-12,68684.0,3,21.94,0
CITY_039,basic,app,2023-08-04,41879.0,6,19.42,0
CITY_168,basic,app,2023-05-06,32255.0,7,11.51,0
CITY_168,plus,web,2024-05-31,14041.0,5,15.58,0
CITY_154,basic,web,2024-10-19,17567.0,3,128.38,1
CITY_060,basic,app,2023-07-16,20903.0,10,38.55,0
CITY_079,basic,web,2023-01-02,8385.0,1,10.91,0
CITY_021,plus,app,2023-12-04,32446.0,7,19.62,1
CITY_104,plus,web,2024-04-16,41753.0,2,30.95,0
CITY_005,basic,web,2024-10-19,27479.0,9,16.82,0
CITY_143,basic,web,2024-01-29,103774.0,10,48.06,0
CITY_032,plus,phone,2024-12-18,22379.0,2,11.08,1
CITY_142,basic,web,2024-01-02,19723.0,6,15.01,0
CITY_127,basic,phone,2023-05-20,9348.0,5,29.13,0
CITY_086,basic,web,2023-11-29,23582.0,4,57.94,1
CITY_027,basic,app,2024-02-16,46701.0,9,20.61,0
CITY_135,pro,web,2023-10-31,14784.0,7,73.24,1
CITY_077,basic,web,2024-11-14,5066.0,9,29.54,1
CITY_015,plus,app,2024-09-26,23074.0,6,8.02,1
CITY_061,basic,app,2024-07-14,22102.0,6,10.62,0
CITY_035,basic,app,2024-09-18,4823.0,9,21.34,1
CITY_166,plus,app,2024-01-13,29565.0,5,31.97,1
CITY_161,plus,app,2024-02-27,12509.0,4,29.87,1
CITY_161,plus,app,2024-01-01,28229.0,3,23.8,1
CITY_031,plus,web,2023-01-10,9719.0,5,8.09,1
CITY_068,basic,web,2023-03-24,32552.0,7,18.38,0
CITY_068,basic,app,2024-05-03,23607.0,5,39.88,1
CITY_063,basic,app,2023-12-07,,9,24.72,0
CITY_173,basic,web,2024-06-12,15258.0,3,31.34,0
CITY_095,plus,web,2024-09-13,11012.0,10,33.08,1
CITY_173,basic,app,2023-08-27,20431.0,5,13.33,0
CITY_165,basic,phone,2024-11-17,48588.0,6,30.28,0
CITY_127,pro,phone,2023-12-10,37786.0,7,21.99,1
CITY_159,plus,web,2024-04-10,19730.0,7,16.06,1
CITY_069,basic,app,2023-08-11,40859.0,6,10.9,0
CITY_027,pro,web,2023-12-31,31552.0,6,43.16,0
CITY_070,basic,web,2023-08-05,20534.0,5,10.19,0
CITY_151,pro,web,2023-12-10,66267.0,5,44.15,0
CITY_136,basic,web,2023-10-12,15626.0,4,23.0,1
CITY_138,pro,app,2024-08-02,26453.0,6,17.27,0
CITY_129,basic,web,2023-11-22,20287.0,7,143.2,1
CITY_113,plus,phone,2024-08-19,39688.0,2,18.12,0
CITY_097,plus,app,2023-10-20,33488.0,6,12.64,0
CITY_128,basic,phone,2024-03-29,23328.0,3,41.04,0
CITY_066,basic,app,2023-08-29,17768.0,7,38.0,1
CITY_091,basic,app,2023-02-11,28728.0,2,32.43,1
CITY_118,basic,web,2023-09-24,62107.0,3,4.76,1
CITY_122,basic,web,2023-04-17,19929.0,9,26.35,0
CITY_047,plus,web,2024-11-20,35846.0,6,7.45,0
CITY_105,basic,web,2023-12-10,34148.0,7,12.88,0
CITY_031,basic,web,2024-02-21,24839.0,6,53.9,0
CITY_108,basic,app,2024-01-27,,7,19.0,0
CITY_112,basic,app,2023-05-02,59699.0,3,50.31,1
CITY_133,plus,app,2024-11-26,48103.0,6,145.55,1
CITY_065,plus,phone,2023-05-11,,6,14.1,0
CITY_117,basic,web,2023-07-31,13078.0,5,50.48,1
CITY_059,plus,app,2023-09-04,91632.0,5,31.81,0
CITY_037,basic,web,2024-01-31,55525.0,7,8.01,0
CITY_161,basic,app,2024-03-20,16080.0,7,7.08,0
CITY_075,basic,web,2024-12-03,54462.0,1,67.95,1
CITY_101,pro,web,2024-01-24,41829.0,6,15.08,0
CITY_139,basic,web,2023-03-07,17006.0,8,51.37,1
CITY_098,basic,app,2024-05-01,13435.0,7,25.39,1
CITY_058,pro,web,2024-04-20,50448.0,6,39.75,1
CITY_122,basic,web,2023-07-10,12641.0,4,15.53,0
CITY_068,basic,app,2023-02-02,,4,13.55,1
CITY_024,basic,web,2023-09-12,,6,28.35,0
CITY_070,plus,phone,2023-02-19,62456.0,5,17.39,0
CITY_010,basic,app,2023-02-26,34942.0,7,4.12,1
CITY_010,basic,web,2023-11-05,79396.0,6,18.89,0
CITY_152,basic,web,2023-10-12,,8,52.05,0
CITY_084,basic,app,2023-10-31,99142.0,3,12.31,1
CITY_125,basic,app,2024-03-24,38974.0,5,25.7,1
CITY_155,plus,app,2023-01-11,27674.0,5,51.77,1
CITY_131,basic,web,2024-02-27,38171.0,7,16.57,1
CITY_050,plus,app,2024-02-06,,5,27.12,1
CITY_000,plus,app,2023-07-27,19657.0,8,11.75,1
CITY_167,basic,app,2023-02-02,58280.0,4,35.82,1
CITY_102,basic,web,2024-06-18,36696.0,9,16.37,0
CITY_064,plus,phone,2023-05-23,40391.0,8,22.23,0
CITY_056,plus,phone,2024-11-23,12740.0,5,90.14,1
CITY_059,basic,app,2023-05-13,16427.0,8,33.88,1
CITY_033,basic,web,2023-11-16,27255.0,8,3.5,0
CITY_018,plus,app,2023-12-09,26938.0,2,6.04,1
CITY_021,pro,web,2024-10-28,11515.0,5,55.68,0
CITY_027,plus,phone,2023-12-02,11289.0,4,15.56,1
CITY_102,plus,app,2024-04-25,29754.0,5,45.98,0
CITY_024,basic,app,2024-04-05,16164.0,2,14.9,0
CITY_118,plus,web,2024-04-13,24127.0,4,11.88,0
CITY_064,plus,web,2024-08-25,,3,20.23,1
CITY_099,basic,web,2023-05-09,47262.0,5,18.49,1
CITY_125,pro,app,2023-10-08,26375.0,6,12.92,0
CITY_157,pro,web,2024-01-10,52823.0,5,34.92,1
CITY_046,basic,app,2024-12-08,40295.0,7,4.35,0
CITY_116,basic,app,2023-03-16,47579.0,5,11.47,1
CITY_051,basic,app,2024-05-10,26869.0,8,36.65,0
CITY_161,basic,app,2024-04-21,24452.0,7,15.85,0
CITY_004,pro,web,2023-07-26,14114.0,4,25.35,1
CITY_126,basic,app,2023-06-13,46176.0,6,19.78,0
CITY_081,basic,phone,2024-10-18,13452.0,9,4.91,0
CITY_073,basic,app,2024-09-16,28966.0,9,31.19,0
CITY_002,basic,web,2024-11-21,,7,28.24,1
CITY_168,basic,web,2023-09-03,23914.0,6,5.07,0
CITY_003,plus,web,2023-07-10,,2,13.01,0
CITY_132,basic,app,2023-06-06,,1,20.41,0
CITY_137,plus,web,2024-08-30,23915.0,4,35.39,1
CITY_134,plus,web,2023-11-07,15691.0,3,26.27,1
CITY_147,basic,web,2024-06-25,52712.0,4,10.92,0
CITY_119,basic,web,2024-03-30,29055.0,5,35.01,1
CITY_054,plus,web,2024-05-08,23003.0,3,72.87,1
CITY_060,plus,app,2023-07-24,,11,50.79,1
CITY_102,basic,phone,2023-02-25,25065.0,12,26.36,0
CITY_174,basic,web,2023-01-12,17495.0,8,24.62,1
CITY_025,plus,web,2023-01-22,19022.0,6,49.73,0
CITY_137,plus,phone,2023-10-17,49368.0,9,18.85,1
CITY_155,basic,app,2023-09-17,38347.0,1,27.79,0
CITY_128,basic,app,2023-12-20,15619.0,2,28.76,1
CITY_152,plus,web,2023-03-16,37463.0,6,9.28,1
CITY_159,plus,web,2024-11-14,31983.0,6,94.89,1
CITY_128,pro,app,2023-09-03,19522.0,8,24.64,0
CITY_178,plus,web,2024-05-27,27171.0,6,8.72,1
CITY_055,basic,phone,2023-02-22,22833.0,5,69.74,1
CITY_150,basic,app,2024-10-11,,4,32.54,1
CITY_104,plus,app,2023-12-24,14159.0,7,40.47,1
CITY_013,basic,web,2023-10-16,28567.0,10,23.07,1
CITY_115,pro,phone,2023-07-18,24195.0,4,31.02,0
CITY_054,plus,app,2023-06-23,,3,28.48,1
CITY_172,plus,app,2023-09-22,,7,74.86,1
CITY_175,plus,web,2023-04-26,20099.0,2,36.9,1
CITY_020,basic,web,2023-11-27,39409.0,6,20.72,1
CITY_018,plus,web,2024-04-16,9630.0,10,13.79,1
CITY_168,pro,web,2024-03-27,28872.0,9,27.24,0
CITY_014,basic,app,2024-05-06,38411.0,6,27.62,0
CITY_068,basic,web,2024-09-15,20583.0,6,21.94,0
CITY_073,plus,web,2023-07-11,37942.0,13,41.46,1
CITY_123,basic,web,2024-11-09,27086.0,7,37.53,1
CITY_092,basic,phone,2024-09-09,19460.0,9,41.02,0
CITY_018,basic,app,2023-12-19,8034.0,6,8.65,1
CITY_014,basic,web,2024-08-07,28185.0,5,15.64,1
CITY_072,basic,web,2024-05-20,36878.0,11,10.78,0
CITY_003,plus,app,2023-09-29,37399.0,9,81.29,1
CITY_067,basic,web,2024-03-11,19885.0,7,14.56,1
CITY_039,plus,phone,2024-11-02,98802.0,3,12.09,1
CITY_179,plus,app,2023-02-25,51324.0,4,9.88,0
CITY_052,plus,app,2023-12-05,44136.0,8,91.03,0
CITY_008,basic,web,2024-09-03,,6,8.52,1
CITY_027,basic,web,2023-10-13,19638.0,6,26.58,1
CITY_042,basic,phone,2023-09-29,20445.0,4,51.8,0
CITY_022,basic,web,2024-10-28,34769.0,6,19.85,0
CITY_171,plus,app,2023-10-18,24309.0,5,7.61,1
CITY_093,plus,web,2023-04-02,33405.0,7,11.41,1
CITY_157,basic,web,2024-10-27,41987.0,5,52.7,0
CITY_128,basic,phone,2023-01-11,24156.0,6,21.02,0
CITY_027,plus,app,2024-11-09,124870.0,5,11.7,1
CITY_106,pro,app,2024-07-14,36777.0,6,16.0,1
CITY_171,plus,app,2024-09-28,16944.0,9,48.28,1
CITY_067,basic,app,2023-03-10,,3,19.83,1
CITY_104,basic,app,2023-10-30,,7,15.59,1
CITY_108,basic,phone,2023-06-03,24041.0,9,27.3,1
CITY_156,basic,web,2024-05-24,27754.0,9,21.72,0
CITY_033,plus,web,2024-01-07,52987.0,8,9.11,0
CITY_163,basic,phone,2023-11-10,26512.0,6,6.92,0
CITY_061,plus,web,2023-11-07,41927.0,3,24.81,0
CITY_150,basic,app,2024-07-21,46483.0,12,15.36,0
CITY_011,pro,web,2023-03-21,14923.0,6,20.03,0
