Date,Revenue
2023-03-28,1867.54
2023-03-29,1825.0
2023-03-30,2103.04
2023-03-31,2609.69
2023-04-01,3005.13
2023-04-02,1594.98
2023-04-03,1997.47
2023-04-04,2020.82
2023-04-05,2189.42
2023-04-06,2174.65
2023-04-07,2365.81
2023-04-08,2814.21
2023-04-09,1808.34
2023-04-10,2087.91
2023-04-11,1910.92
2023-04-12,2105.51
2023-04-13,2211.69
2023-04-14,2511.16
2023-04-15,2797.98
2023-04-16,1720.42
2023-04-17,2101.62
2023-04-18,2171.2
2023-04-19,2085.46
2023-04-20,2046.93
2023-04-21,2768.75
2023-04-22,2978.53
2023-04-23,2110.44
2023-04-24,2213.09
2023-04-25,2026.46
2023-04-26,1980.44
2023-04-27,2434.36
2023-04-28,3004.54
2023-04-29,2819.73
2023-04-30,1860.63
2023-05-01,2323.25
2023-05-02,2023.4
2023-05-03,2161.09
2023-05-04,2268.4
2023-05-05,2711.0
2023-05-06,3189.84
2023-05-07,1967.55
2023-05-08,2406.58
2023-05-09,2108.82
2023-05-10,2273.24
2023-05-11,2076.92
2023-05-12,2511.71
2023-05-13,3194.27
2023-05-14,1933.54
2023-05-15,2403.25
2023-05-16,2259.54
2023-05-17,2434.07
2023-05-18,2497.91
2023-05-19,2927.11
2023-05-20,3088.28
2023-05-21,1950.7
2023-05-22,2268.46
2023-05-23,2166.34
2023-05-24,2158.53
2023-05-25,2351.73
2023-05-26,2795.95
2023-05-27,3192.93
2023-05-28,2017.15
2023-05-29,2140.88
2023-05-30,2245.37
2023-05-31,2358.99
2023-06-01,2600.53
2023-06-02,2933.94
2023-06-03,3073.02
2023-06-04,1995.92
2023-06-05,2688.22
2023-06-06,2373.33
2023-06-07,2591.6
2023-06-08,2769.42
2023-06-09,2742.42
2023-06-10,3284.46
2023-06-11,2150.86
2023-06-12,2517.52
2023-06-13,2366.88
2023-06-14,2400.67
2023-06-15,2523.19
2023-06-16,2655.0
2023-06-17,3211.15
2023-06-18,2026.35
2023-06-19,2476.45
2023-06-20,2254.25
2023-06-21,2470.76
2023-06-22,2627.79
2023-06-23,2960.42
2023-06-24,3315.19
2023-06-25,2135.16
2023-06-26,2410.68
2023-06-27,2303.48
2023-06-28,2334.46
2023-06-29,2578.62
2023-06-30,2924.26
2023-07-01,3374.44
2023-07-02,1975.36
2023-07-03,2599.77
2023-07-04,2232.84
2023-07-05,2308.34
2023-07-06,2502.44
2023-07-07,2836.44
2023-07-08,3327.15
2023-07-09,2066.25
2023-07-10,2335.05
2023-07-11,2223.57
2023-07-12,2579.94
2023-07-13,2536.22
2023-07-14,2738.56
2023-07-15,3274.58
2023-07-16,1949.51
2023-07-17,2722.29
2023-07-18,2133.66
2023-07-19,2465.69
2023-07-20,2600.79
2023-07-21,2687.29
2023-07-22,3319.05
2023-07-23,2242.82
2023-07-24,2534.55
2023-07-25,2354.74
2023-07-26,2519.0
2023-07-27,2538.06
2023-07-28,2962.25
2023-07-29,3228.49
2023-07-30,2190.11
2023-07-31,2331.84
2023-08-01,2410.27
2023-08-02,2315.16
2023-08-03,2351.76
2023-08-04,2949.66
2023-08-05,3532.4
2023-08-06,2214.51
2023-08-07,2373.83
2023-08-08,2382.14
2023-08-09,2305.6
2023-08-10,2466.79
2023-08-11,2884.12
2023-08-12,2797.96
2023-08-13,2108.59
2023-08-14,2285.99
2023-08-15,2187.62
2023-08-16,2154.27
2023-08-17,2256.54
2023-08-18,2696.57
2023-08-19,3321.34
2023-08-20,2256.33
2023-08-21,2396.56
2023-08-22,2387.78
2023-08-23,2287.18
2023-08-24,2180.49
2023-08-25,2837.74
2023-08-26,3220.47
2023-08-27,1996.46
2023-08-28,2413.05
2023-08-29,2297.6
2023-08-30,2185.68
2023-08-31,2213.13
2023-09-01,2747.93
2023-09-02,3070.29
2023-09-03,1981.04
2023-09-04,2472.19
2023-09-05,2408.97
2023-09-06,2214.27
2023-09-07,2470.02
2023-09-08,2888.67
2023-09-09,3186.86
2023-09-10,2108.99
2023-09-11,2264.72
2023-09-12,2259.53
2023-09-13,2485.08
2023-09-14,2450.46
2023-09-15,2617.08
2023-09-16,3125.98
2023-09-17,2103.36
2023-09-18,2328.69
2023-09-19,2074.73
2023-09-20,2392.04
2023-09-21,2154.78
2023-09-22,2745.25
2023-09-23,2979.41
2023-09-24,1811.56
2023-09-25,2400.7
2023-09-26,2150.81
2023-09-27,2033.79
2023-09-28,2355.99
2023-09-29,2570.25
2023-09-30,2631.39
2023-10-01,1838.39
2023-10-02,2249.35
2023-10-03,2152.55
2023-10-04,2161.24
2023-10-05,2253.04
2023-10-06,2661.67
2023-10-07,2862.82
2023-10-08,2005.07
2023-10-09,2203.09
2023-10-10,2083.04
2023-10-11,2173.79
2023-10-12,2086.49
2023-10-13,2457.84
2023-10-14,3095.35
2023-10-15,1890.79
2023-10-16,2121.0
2023-10-17,2059.18
2023-10-18,2026.5
2023-10-19,2218.16
2023-10-20,2430.13
2023-10-21,2859.16
2023-10-22,1672.54
2023-10-23,2281.22
2023-10-24,1938.12
2023-10-25,1875.61
2023-10-26,2129.71
2023-10-27,2439.23
2023-10-28,2803.87
2023-10-29,1694.52
2023-10-30,2145.13
2023-10-31,2362.57
2023-11-01,1886.74
2023-11-02,2170.18
2023-11-03,2418.83
2023-11-04,2777.65
2023-11-05,1609.79
2023-11-06,1944.49
2023-11-07,1997.74
2023-11-08,2003.53
2023-11-09,2297.93
2023-11-10,2341.28
2023-11-11,2747.17
2023-11-12,2054.19
2023-11-13,1969.58
2023-11-14,1834.48
2023-11-15,1985.86
2023-11-16,2084.77
2023-11-17,2527.21
2023-11-18,2718.0
2023-11-19,1683.41
2023-11-20,2064.21
2023-11-21,2194.39
2023-11-22,2113.91
2023-11-23,1758.19
2023-11-24,2380.82
2023-11-25,2553.18
2023-11-26,1806.11
2023-11-27,2009.99
2023-11-28,2109.08
2023-11-29,2066.91
2023-11-30,2167.74
2023-12-01,2414.16
2023-12-02,2666.18
2023-12-03,1772.88
2023-12-04,2167.16
2023-12-05,1957.08
2023-12-06,1923.64
2023-12-07,2206.99
2023-12-08,2410.88
2023-12-09,2657.26
2023-12-10,2411.41
2023-12-11,2840.54
2023-12-12,2659.86
2023-12-13,2407.89
2023-12-14,3159.51
2023-12-15,3570.46
2023-12-16,3829.12
2023-12-17,2670.82
2023-12-18,3008.82
2023-12-19,2819.68
2023-12-20,2464.72
2023-12-21,2963.57
2023-12-22,3577.08
2023-12-23,4235.05
2023-12-24,2793.6
2023-12-25,0.0
2023-12-26,1793.3
2023-12-27,1739.58
2023-12-28,2148.24
2023-12-29,2415.89
2023-12-30,2844.52
2023-12-31,1749.97
2024-01-01,2076.39
2024-01-02,1771.7
2024-01-03,2044.51
2024-01-04,2049.74
2024-01-05,2481.16
2024-01-06,2796.16
2024-01-07,1768.16
2024-01-08,2108.82
2024-01-09,1950.14
2024-01-10,2101.6
2024-01-11,2183.76
2024-01-12,2388.84
2024-01-13,2671.1
2024-01-14,1974.68
2024-01-15,2087.61
2024-01-16,2085.24
2024-01-17,2088.95
2024-01-18,2087.81
2024-01-19,2395.13
2024-01-20,2819.09
2024-01-21,1854.55
2024-01-22,2203.35
2024-01-23,1868.21
2024-01-24,2009.24
2024-01-25,2178.13
2024-01-26,2762.82
2024-01-27,2478.01
2024-01-28,1904.94
2024-01-29,2104.01
2024-01-30,2092.15
2024-01-31,2057.29
2024-02-01,2274.21
2024-02-02,2808.85
2024-02-03,2957.67
2024-02-04,1940.63
2024-02-05,2255.59
2024-02-06,1997.63
2024-02-07,2220.75
2024-02-08,2248.09
2024-02-09,2520.87
2024-02-10,2954.29
2024-02-11,1910.49
2024-02-12,2349.98
2024-02-13,2122.58
2024-02-14,2138.17
2024-02-15,2509.07
2024-02-16,2842.44
2024-02-17,3236.56
2024-02-18,2043.39
2024-02-19,2292.65
2024-02-20,2125.03
2024-02-21,2217.27
2024-02-22,2499.5
2024-02-23,2774.31
2024-02-24,2842.26
2024-02-25,2018.53
2024-02-26,2176.19
2024-02-27,2246.11
2024-02-28,2151.95
2024-02-29,2262.44
2024-03-01,2840.76
2024-03-02,3154.25
2024-03-03,1881.64
2024-03-04,2515.64
2024-03-05,2550.09
2024-03-06,2167.45
2024-03-07,2739.02
2024-03-08,2780.87
2024-03-09,3156.0
2024-03-10,2099.98
2024-03-11,2277.84
2024-03-12,2500.8
2024-03-13,2482.25
2024-03-14,2444.64
2024-03-15,2915.01
2024-03-16,3045.52
2024-03-17,2130.58
2024-03-18,2664.83
2024-03-19,2164.87
2024-03-20,2415.66
2024-03-21,2632.53
2024-03-22,3206.06
2024-03-23,3654.87
2024-03-24,2168.22
2024-03-25,2489.24
2024-03-26,2507.97
2024-03-27,2483.24
2024-03-28,2627.73
2024-03-29,3287.22
2024-03-30,3806.09
2024-03-31,2309.58
2024-04-01,2627.42
2024-04-02,2582.95
2024-04-03,2323.39
2024-04-04,2732.18
2024-04-05,2988.89
2024-04-06,4029.99
2024-04-07,2420.17
2024-04-08,2736.53
2024-04-09,2533.07
2024-04-10,2283.74
2024-04-11,2905.12
2024-04-12,3534.62
2024-04-13,3493.88
2024-04-14,2467.9
2024-04-15,2884.18
2024-04-16,2392.54
2024-04-17,2845.9
2024-04-18,3067.09
2024-04-19,3353.28
2024-04-20,3702.24
2024-04-21,2532.52
2024-04-22,2590.53
2024-04-23,2681.62
2024-04-24,2920.73
2024-04-25,2711.92
2024-04-26,3560.8
2024-04-27,3700.0
2024-04-28,2190.72
2024-04-29,2867.26
2024-04-30,2572.66
2024-05-01,2861.17
2024-05-02,2773.04
2024-05-03,3636.14
2024-05-04,3698.15
2024-05-05,2566.84
2024-05-06,2838.41
2024-05-07,2715.56
2024-05-08,3046.89
2024-05-09,3049.37
2024-05-10,3418.3
2024-05-11,3647.74
2024-05-12,2720.94
2024-05-13,3100.6
2024-05-14,2757.09
2024-05-15,2941.93
2024-05-16,2885.68
2024-05-17,3347.83
2024-05-18,3793.56
2024-05-19,2644.59
2024-05-20,3071.29
2024-05-21,2729.34
2024-05-22,3061.5
2024-05-23,3232.97
2024-05-24,3625.69
2024-05-25,4254.25
2024-05-26,2584.77
2024-05-27,3039.7
2024-05-28,2954.58
2024-05-29,2970.56
2024-05-30,3271.05
2024-05-31,3380.92
2024-06-01,4386.58
2024-06-02,2539.71
2024-06-03,3061.85
2024-06-04,2687.85
2024-06-05,3103.94
2024-06-06,3385.09
2024-06-07,3879.78
2024-06-08,4291.35
2024-06-09,2447.04
2024-06-10,2981.15
2024-06-11,2856.62
2024-06-12,2872.01
2024-06-13,3383.43
2024-06-14,3727.22
2024-06-15,4125.46
2024-06-16,2765.8
2024-06-17,2970.38
2024-06-18,2801.18
2024-06-19,2897.03
2024-06-20,3291.29
2024-06-21,3778.01
2024-06-22,4282.57
2024-06-23,2866.03
2024-06-24,2912.52
2024-06-25,2868.66
2024-06-26,3080.34
2024-06-27,2975.74
2024-06-28,3610.62
2024-06-29,4394.0
2024-06-30,2876.61
2024-07-01,3341.01
2024-07-02,2972.41
2024-07-03,3024.66
2024-07-04,3409.37
2024-07-05,3646.88
2024-07-06,4242.32
2024-07-07,2911.07
2024-07-08,3090.9
2024-07-09,2865.41
2024-07-10,3057.47
2024-07-11,3321.87
2024-07-12,3818.22
2024-07-13,4195.24
2024-07-14,2792.02
2024-07-15,2871.9
2024-07-16,2818.94
2024-07-17,3079.2
2024-07-18,3043.7
2024-07-19,3435.02
2024-07-20,3870.89
2024-07-21,2563.42
2024-07-22,3106.42
2024-07-23,2781.22
2024-07-24,3078.08
2024-07-25,3490.92
2024-07-26,3661.0
2024-07-27,4414.67
2024-07-28,2728.05
2024-07-29,2927.64
2024-07-30,2888.53
2024-07-31,2857.3
2024-08-01,3306.89
2024-08-02,3434.2
2024-08-03,4395.41
2024-08-04,2751.31
2024-08-05,2752.56
2024-08-06,3033.21
2024-08-07,3252.92
2024-08-08,3010.63
2024-08-09,3833.6
2024-08-10,3660.81
2024-08-11,2679.98
2024-08-12,2788.94
2024-08-13,2957.63
2024-08-14,2676.92
2024-08-15,2665.91
2024-08-16,3679.37
2024-08-17,4528.11
2024-08-18,2530.61
2024-08-19,3176.11
2024-08-20,2867.94
2024-08-21,2884.49
2024-08-22,3187.33
2024-08-23,3882.19
2024-08-24,3706.06
2024-08-25,2666.22
2024-08-26,3058.67
2024-08-27,2595.89
2024-08-28,3158.8
2024-08-29,3371.57
2024-08-30,3331.95
2024-08-31,4301.24
2024-09-01,2560.85
2024-09-02,2936.25
2024-09-03,3009.52
2024-09-04,2898.56
2024-09-05,3057.75
2024-09-06,3758.2
2024-09-07,4146.73
2024-09-08,2641.45
2024-09-09,2696.58
2024-09-10,2503.64
2024-09-11,2997.03
2024-09-12,2810.54
2024-09-13,3446.71
2024-09-14,3590.85
2024-09-15,2455.99
2024-09-16,2676.3
2024-09-17,2942.29
2024-09-18,2624.51
2024-09-19,2897.7
2024-09-20,3332.65
2024-09-21,4008.11
2024-09-22,2252.68
2024-09-23,2829.82
2024-09-24,2628.42
2024-09-25,2817.59
2024-09-26,2947.1
2024-09-27,3231.15
2024-09-28,3749.62
2024-09-29,2356.22
2024-09-30,2863.06
2024-10-01,2603.11
2024-10-02,2598.23
2024-10-03,2823.76
2024-10-04,3329.71
2024-10-05,4097.68
2024-10-06,2304.61
2024-10-07,2794.46
2024-10-08,2784.95
2024-10-09,2350.62
2024-10-10,2517.71
2024-10-11,3004.32
2024-10-12,3565.52
2024-10-13,2645.67
2024-10-14,2764.81
2024-10-15,2707.43
2024-10-16,2582.29
2024-10-17,2371.48
2024-10-18,2763.89
2024-10-19,3733.34
2024-10-20,2321.93
2024-10-21,2476.81
2024-10-22,2655.98
2024-10-23,2358.81
2024-10-24,2873.12
2024-10-25,3371.77
2024-10-26,3339.6
2024-10-27,2128.86
2024-10-28,2753.3
2024-10-29,2319.95
2024-10-30,2663.34
2024-10-31,2493.6
2024-11-01,3219.17
2024-11-02,3459.73
2024-11-03,2185.37
2024-11-04,2470.69
2024-11-05,2470.63
2024-11-06,2250.99
2024-11-07,2597.83
2024-11-08,2980.55
2024-11-09,3530.26
2024-11-10,2061.34
2024-11-11,2813.01
2024-11-12,2371.77
2024-11-13,2331.08
2024-11-14,2810.57
2024-11-15,3293.22
2024-11-16,3336.24
2024-11-17,2086.16
2024-11-18,2550.08
2024-11-19,2301.46
2024-11-20,2423.7
2024-11-21,2812.53
2024-11-22,3058.45
2024-11-23,3372.77
2024-11-24,2219.5
2024-11-25,2522.42
2024-11-26,2486.82
2024-11-27,2569.37
2024-11-28,2523.04
2024-11-29,2994.7
2024-11-30,3770.68
2024-12-01,2217.85
2024-12-02,2493.47
2024-12-03,2633.89
2024-12-04,2442.92
2024-12-05,2411.76
2024-12-06,3078.59
2024-12-07,3155.6
2024-12-08,2103.46
2024-12-09,2559.49
2024-12-10,3402.98
2024-12-11,3387.72
2024-12-12,3605.99
2024-12-13,4162.03
2024-12-14,5122.42
2024-12-15,3012.46
2024-12-16,3533.67
2024-12-17,3815.32
2024-12-18,3433.68
2024-12-19,4030.94
2024-12-20,4624.36
2024-12-21,4786.04
2024-12-22,2900.87
2024-12-23,3752.37
2024-12-24,3571.37
2024-12-25,0.0
2024-12-26,2591.63
2024-12-27,3187.02
2024-12-28,3602.7
2024-12-29,2056.08
2024-12-30,2740.38
